"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b05501007,"2017-04-10 09:29:39","2017-04-10 09:33:53",4.23,1,2,0,0,0,0,3,2.12
b05501116,"2017-04-10 09:29:42","2017-04-10 09:46:04",16.37,1,1,0,4,2,0,8,2.34
b05501113,"2017-04-10 09:31:33","2017-04-10 09:39:15",7.70,1,2,0,0,1,0,4,2.57
b01204037,"2017-04-10 09:42:05","2017-04-10 09:42:05",0.00,1,0,0,0,0,0,1,0.00
b05501019,"2017-04-10 09:43:43","2017-04-10 09:45:20",1.62,1,1,0,0,0,0,2,1.62
b05501013,"2017-04-10 09:45:45","2017-04-10 10:16:21",30.60,1,11,0,0,0,0,12,2.78
b03204001,"2017-04-10 09:46:31","2017-04-10 09:47:37",1.10,1,1,0,0,0,0,2,1.10
b05501046,"2017-04-10 09:56:31","2017-04-10 10:02:05",5.57,2,2,0,0,0,0,4,1.86
b04602040,"2017-04-10 09:57:24","2017-04-10 09:57:24",0.00,1,0,0,0,0,0,1,0.00
b02501104,"2017-04-10 09:57:27","2017-04-10 10:03:39",6.20,1,3,0,1,0,0,5,1.55
b04501128,"2017-04-10 09:57:49","2017-04-10 10:09:09",11.33,1,4,0,1,1,0,7,1.89
b05501010,"2017-04-10 09:58:02","2017-04-10 10:09:22",11.33,1,6,0,0,0,0,7,1.89
b02501116,"2017-04-10 09:58:53","2017-04-10 10:21:14",22.35,1,3,0,0,2,0,6,4.47
b03501016,"2017-04-10 09:59:22","2017-04-10 10:42:03",42.68,1,8,0,1,1,0,11,4.27
b05501034,"2017-04-10 10:03:35","2017-04-10 10:03:45",0.17,1,0,0,0,1,0,2,0.17
b03501007,"2017-04-10 10:10:31","2017-04-10 10:42:17",31.77,1,3,0,3,1,0,8,4.54
b01204027,"2017-04-10 10:10:33","2017-04-10 10:39:28",28.92,1,8,0,2,0,0,11,2.89
b05501037,"2017-04-10 10:12:12","2017-04-10 10:20:19",8.12,1,4,0,0,0,0,5,2.03
b05501049,"2017-04-10 10:12:16","2017-04-10 10:15:03",2.78,1,2,0,0,0,0,3,1.39
b04501125,"2017-04-10 10:15:07","2017-04-10 10:19:31",4.40,1,1,0,0,1,0,3,2.20
b05501016,"2017-04-10 10:15:13","2017-04-10 10:31:18",16.08,1,4,0,0,0,0,5,4.02
b03505034,"2017-04-10 10:19:07","2017-04-10 11:08:17",49.17,3,3,0,0,0,0,6,9.83
b05501085,"2017-04-10 10:20:45","2017-04-10 10:24:30",3.75,1,6,0,0,0,0,7,0.63
b03605064,"2017-04-10 10:21:18","2017-04-10 10:24:47",3.48,1,2,0,0,0,0,3,1.74
b03204028,"2017-04-10 10:21:27","2017-04-10 10:30:29",9.03,1,4,0,0,4,0,9,1.13
b03204023,"2017-04-10 10:22:03","2017-04-10 11:18:54",56.85,2,6,0,3,1,0,12,5.17
b02501120,"2017-04-10 10:24:13","2017-04-10 10:25:53",1.67,1,1,0,0,0,0,2,1.67
b05501022,"2017-04-10 10:28:24","2017-04-10 10:30:23",1.98,1,1,0,0,0,0,2,1.98
b03501124,"2017-04-10 10:34:26","2017-04-10 10:34:26",0.00,1,0,0,0,0,0,1,0.00
b02208010,"2017-04-10 10:40:48","2017-04-10 11:02:01",21.22,1,1,0,0,0,0,2,21.22
b05501055,"2017-04-10 10:41:14","2017-04-10 10:49:12",7.97,1,1,0,0,0,0,2,7.97
b03302131,"2017-04-10 10:44:00","2017-04-10 12:54:24",130.40,1,0,0,6,2,0,9,16.30
b05501104,"2017-04-10 10:46:13","2017-04-10 10:54:00",7.78,1,2,0,0,0,0,3,3.89
b05501073,"2017-04-10 10:46:16","2017-04-10 10:50:10",3.90,1,3,0,0,0,0,4,1.30
b05501052,"2017-04-10 10:48:09","2017-04-10 10:57:07",8.97,1,6,0,0,0,0,7,1.49
b05501101,"2017-04-10 10:49:56","2017-04-10 10:49:56",0.00,1,0,0,0,0,0,1,0.00
b05501079,"2017-04-10 10:52:58","2017-04-10 10:52:58",0.00,1,0,0,0,0,0,1,0.00
b05501119,"2017-04-10 11:02:46","2017-04-10 11:04:23",1.62,1,1,0,0,0,0,2,1.62
b05501076,"2017-04-10 11:04:32","2017-04-10 11:19:13",14.68,1,3,0,0,0,0,4,4.89
b01501091,"2017-04-10 11:09:03","2017-04-10 11:12:06",3.05,1,2,0,0,0,0,3,1.53
b05501058,"2017-04-10 11:10:48","2017-04-10 11:38:06",27.30,1,12,0,3,5,0,21,1.37
b04501119,"2017-04-10 11:11:33","2017-04-10 11:33:44",22.18,1,9,0,3,1,0,14,1.71
b02501066,"2017-04-10 11:11:45","2017-04-10 11:21:11",9.43,1,5,0,0,0,0,6,1.89
b05501001,"2017-04-10 11:18:27","2017-04-10 11:22:56",4.48,1,0,0,1,1,0,3,2.24
b05501110,"2017-04-10 11:38:54","2017-04-10 11:41:14",2.33,1,1,0,0,0,0,2,2.33
b05501107,"2017-04-10 11:40:42","2017-04-10 11:43:44",3.03,2,2,0,0,1,0,5,0.76
b02501080,"2017-04-10 11:42:01","2017-04-10 11:51:41",9.67,1,3,0,4,1,0,9,1.21
b05501025,"2017-04-10 11:43:00","2017-04-10 12:09:27",26.45,1,13,0,0,2,0,16,1.76
b05501004,"2017-04-10 11:51:12","2017-04-10 11:57:21",6.15,1,2,0,0,0,0,3,3.08
b04104028,"2017-04-10 11:54:25","2017-04-10 12:00:26",6.02,1,3,0,0,0,0,4,2.01
b05501091,"2017-04-10 15:08:53","2017-04-12 07:57:30","2,448.62",1,17,0,4,2,0,24,106.46
b05501028,"2017-04-10 17:19:25","2017-04-10 17:22:39",3.23,1,3,0,0,0,0,4,1.08
b05501064,"2017-04-11 14:38:47","2017-04-11 14:42:36",3.82,1,1,0,0,0,0,2,3.82
