"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b04501125,"2017-04-10 09:40:50","2017-04-10 09:40:50",0.00,1,0,0,0,0,0,1,0.00
b02501120,"2017-04-10 09:53:41","2017-04-10 09:53:41",0.00,1,0,0,0,0,0,1,0.00
b02501116,"2017-04-10 09:56:52","2017-04-10 09:57:09",0.28,2,0,0,0,0,0,2,0.28
b04602040,"2017-04-10 09:58:12","2017-04-10 09:58:12",0.00,1,0,0,0,0,0,1,0.00
b01204037,"2017-04-10 10:24:49","2017-04-10 10:24:49",0.00,1,0,0,0,0,0,1,0.00
b05501016,"2017-04-10 10:31:52","2017-04-10 10:31:52",0.00,1,0,0,0,0,0,1,0.00
b02501066,"2017-04-10 10:32:22","2017-04-10 10:32:22",0.00,1,0,0,0,0,0,1,0.00
b03204001,"2017-04-10 10:34:53","2017-04-10 10:34:53",0.00,1,0,0,0,0,0,1,0.00
b03505034,"2017-04-10 10:42:45","2017-04-10 11:09:34",26.82,2,0,0,0,0,0,2,26.82
b05501085,"2017-04-10 10:49:29","2017-04-10 10:51:08",1.65,2,0,0,0,2,0,4,0.55
b05501113,"2017-04-10 10:51:14","2017-04-10 10:51:14",0.00,1,0,0,0,0,0,1,0.00
b03501124,"2017-04-10 10:53:05","2017-04-10 10:53:05",0.00,1,0,0,0,0,0,1,0.00
b05501010,"2017-04-10 10:55:53","2017-04-10 10:55:53",0.00,1,0,0,0,0,0,1,0.00
b05501107,"2017-04-10 10:58:36","2017-04-10 10:58:36",0.00,1,0,0,0,0,0,1,0.00
b05501076,"2017-04-10 10:59:33","2017-04-10 10:59:33",0.00,1,0,0,0,0,0,1,0.00
b04501119,"2017-04-10 11:08:47","2017-04-10 11:44:52",36.08,1,3,0,0,2,0,6,7.22
b03204028,"2017-04-10 11:10:56","2017-04-10 11:10:56",0.00,1,0,0,0,0,0,1,0.00
b01501091,"2017-04-10 11:13:35","2017-04-10 11:13:35",0.00,1,0,0,0,0,0,1,0.00
b05501013,"2017-04-10 11:16:12","2017-04-10 11:16:12",0.00,1,0,0,0,0,0,1,0.00
b05501046,"2017-04-10 11:20:13","2017-04-10 11:20:13",0.00,1,0,0,0,0,0,1,0.00
b05501019,"2017-04-10 11:21:02","2017-04-10 11:36:10",15.13,2,0,0,0,0,0,2,15.13
b03501016,"2017-04-10 11:24:12","2017-04-10 11:25:46",1.57,1,2,0,0,0,0,3,0.78
b04104028,"2017-04-10 11:25:36","2017-04-10 11:25:36",0.00,1,0,0,0,0,0,1,0.00
b05501034,"2017-04-10 11:26:52","2017-04-10 11:26:52",0.00,1,0,0,0,0,0,1,0.00
b02501104,"2017-04-10 11:27:30","2017-04-10 11:28:08",0.63,1,1,0,0,0,0,2,0.63
b05501007,"2017-04-10 11:27:56","2017-04-10 11:34:33",6.62,2,1,0,0,0,0,3,3.31
b01204027,"2017-04-10 11:31:30","2017-04-10 11:31:30",0.00,1,0,0,0,0,0,1,0.00
b05501119,"2017-04-10 11:33:41","2017-04-10 11:33:41",0.00,1,0,0,0,0,0,1,0.00
b04501128,"2017-04-10 11:34:21","2017-04-10 11:34:21",0.00,1,0,0,0,0,0,1,0.00
b03302131,"2017-04-10 11:38:04","2017-04-10 13:13:41",95.62,3,3,0,0,1,0,7,15.94
b03501007,"2017-04-10 11:42:42","2017-04-10 11:42:42",0.00,1,0,0,0,0,0,1,0.00
b03605064,"2017-04-10 11:42:45","2017-04-10 11:43:41",0.93,1,1,0,0,0,0,2,0.93
b05501037,"2017-04-10 11:45:25","2017-04-10 11:45:25",0.00,1,0,0,0,0,0,1,0.00
b05501022,"2017-04-10 11:53:39","2017-04-10 11:53:39",0.00,1,0,0,0,0,0,1,0.00
b02501080,"2017-04-10 11:57:34","2017-04-10 11:57:34",0.00,1,0,0,0,0,0,1,0.00
b05501025,"2017-04-10 11:58:13","2017-04-10 11:58:36",0.38,2,0,0,0,0,0,2,0.38
b03204023,"2017-04-10 11:59:20","2017-04-10 12:01:30",2.17,2,0,0,0,1,0,3,1.08
b05501049,"2017-04-10 12:00:40","2017-04-10 12:00:40",0.00,1,0,0,0,0,0,1,0.00
b05501079,"2017-04-10 12:06:51","2017-04-10 12:29:35",22.73,2,0,0,0,0,0,2,22.73
b05501110,"2017-04-10 12:07:27","2017-04-10 12:07:27",0.00,1,0,0,0,0,0,1,0.00
b05501073,"2017-04-10 12:12:42","2017-04-10 12:14:29",1.78,1,2,0,0,0,0,3,0.89
b05501101,"2017-04-10 12:15:19","2017-04-10 12:20:59",5.67,2,0,0,0,2,0,4,1.89
b05501004,"2017-04-10 12:18:16","2017-04-10 12:18:16",0.00,1,0,0,0,0,0,1,0.00
b05501104,"2017-04-10 12:39:40","2017-04-10 12:41:03",1.38,1,0,0,0,2,0,3,0.69
b05501116,"2017-04-10 12:41:42","2017-04-10 12:42:48",1.10,1,1,0,0,0,0,2,1.10
b02208010,"2017-04-10 13:36:27","2017-04-10 13:36:27",0.00,1,0,0,0,0,0,1,0.00
b05501091,"2017-04-11 16:47:37","2017-04-11 16:47:37",0.00,1,0,0,0,0,0,1,0.00
b05501064,"2017-04-11 16:50:31","2017-04-11 16:53:05",2.57,3,0,0,0,0,0,3,1.28
