"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b05501022,"2017-02-20 11:35:06","2017-02-20 11:50:49",15.72,1,0,0,0,8,0,9,1.96
b05501058,"2017-02-20 11:35:09","2017-02-20 12:04:08",28.98,3,1,0,0,5,1,10,3.22
b02501080,"2017-02-20 11:37:58","2017-02-20 11:50:58",13.00,1,0,0,0,3,0,4,4.33
b03501124,"2017-02-20 11:38:33","2017-02-20 11:38:33",0.00,1,0,0,0,0,0,1,0.00
b05501010,"2017-02-20 11:39:10","2017-02-20 12:17:47",38.62,6,3,0,0,5,0,14,2.97
b05501013,"2017-02-20 11:39:25","2017-02-20 11:53:34",14.15,1,0,0,0,7,0,8,2.02
b05501064,"2017-02-20 11:39:28","2017-02-20 11:55:17",15.82,2,0,0,1,3,0,6,3.16
b05501016,"2017-02-20 11:42:15","2017-02-20 12:19:00",36.75,3,13,0,0,2,0,18,2.16
b03501016,"2017-02-20 11:45:03","2017-02-20 11:47:13",2.17,2,0,0,0,0,0,2,2.17
b03204001,"2017-02-20 11:45:14","2017-02-20 11:45:14",0.00,1,0,0,0,0,0,1,0.00
b02613004,"2017-02-20 11:45:14","2017-02-20 11:45:14",0.00,1,0,0,0,0,0,1,0.00
b02501066,"2017-02-20 11:46:56","2017-02-20 11:51:35",4.65,1,4,0,0,0,0,5,1.16
b05501004,"2017-02-20 11:47:20","2017-02-20 11:53:46",6.43,1,0,0,0,1,1,3,3.22
b01204027,"2017-02-20 11:47:57","2017-02-20 12:02:04",14.12,2,0,0,0,1,0,3,7.06
b05501119,"2017-02-20 11:48:48","2017-02-20 12:12:58",24.17,6,1,0,0,0,0,7,4.03
b02501120,"2017-02-20 11:49:04","2017-02-20 12:02:57",13.88,3,0,0,0,3,0,6,2.78
b05501049,"2017-02-20 11:49:43","2017-02-20 12:27:36",37.88,1,3,0,0,2,0,6,7.58
b05501073,"2017-02-20 11:49:51","2017-02-20 11:49:51",0.00,1,0,0,0,0,0,1,0.00
b04501125,"2017-02-20 11:50:23","2017-02-20 11:51:07",0.73,1,0,0,0,1,0,2,0.73
b03204028,"2017-02-20 11:51:04","2017-02-20 11:51:04",0.00,1,0,0,0,0,0,1,0.00
b05501031,"2017-02-20 11:51:57","2017-02-20 12:28:31",36.57,1,0,0,0,5,0,6,7.31
b05501037,"2017-02-20 11:52:39","2017-02-20 12:32:09",39.50,1,2,0,0,8,0,11,3.95
b05501113,"2017-02-20 11:52:39","2017-02-20 12:39:45",47.10,1,0,0,0,4,0,5,11.78
b01501091,"2017-02-20 11:53:00","2017-02-20 12:06:44",13.73,1,3,0,0,1,0,5,3.43
b03501007,"2017-02-20 11:53:17","2017-02-20 12:25:29",32.20,4,12,0,0,1,0,17,2.01
b03605064,"2017-02-20 11:53:59","2017-02-20 11:54:55",0.93,1,0,0,0,1,0,2,0.93
b05501076,"2017-02-20 11:54:03","2017-02-20 12:18:29",24.43,1,1,0,0,2,0,4,8.14
b05501028,"2017-02-20 11:54:33","2017-02-21 04:37:22","1,002.82",1,1,0,0,4,0,6,200.56
b05501055,"2017-02-20 11:56:10","2017-02-20 12:28:41",32.52,1,1,0,1,3,0,6,6.50
b01204037,"2017-02-20 11:56:26","2017-02-20 11:58:23",1.95,3,0,0,0,0,0,3,0.98
b05501025,"2017-02-20 11:56:49","2017-02-20 12:06:04",9.25,6,1,0,0,1,0,8,1.32
b05501001,"2017-02-20 11:57:24","2017-02-20 11:57:24",0.00,0,1,0,0,0,0,1,0.00
b05501116,"2017-02-20 11:57:46","2017-02-20 12:11:55",14.15,1,3,0,0,0,0,4,4.72
b05501052,"2017-02-20 11:58:39","2017-02-20 12:11:21",12.70,3,0,0,0,1,0,4,4.23
b05501034,"2017-02-20 11:58:40","2017-02-20 12:03:05",4.42,3,0,0,1,0,0,4,1.47
b02208010,"2017-02-20 11:58:55","2017-02-20 12:36:45",37.83,2,11,0,0,2,0,15,2.70
b05501070,"2017-02-20 11:59:34","2017-02-20 12:00:57",1.38,3,0,0,0,0,0,3,0.69
b03204023,"2017-02-20 11:59:55","2017-02-20 12:19:08",19.22,3,6,0,0,1,0,10,2.14
b04501119,"2017-02-20 12:01:11","2017-02-20 12:27:33",26.37,1,0,0,30,1,0,32,0.85
b05501043,"2017-02-20 12:01:12","2017-02-20 12:35:42",34.50,1,14,0,0,4,0,19,1.92
b03302131,"2017-02-20 12:01:51","2017-02-20 12:24:11",22.33,5,1,0,0,4,0,10,2.48
b05501107,"2017-02-20 12:03:23","2017-02-20 12:32:41",29.30,1,0,0,0,6,0,7,4.88
b05501104,"2017-02-20 12:03:52","2017-02-20 12:03:52",0.00,1,0,0,0,0,0,1,0.00
