"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b03501124,"2017-02-20 11:33:55","2017-02-20 11:45:45",11.83,1,7,0,0,1,0,9,1.48
b05501049,"2017-02-20 11:36:52","2017-02-20 12:30:17",53.42,2,5,0,0,7,0,14,4.11
b05501004,"2017-02-20 11:38:17","2017-02-20 12:07:57",29.67,0,3,0,0,5,0,8,4.24
b02501066,"2017-02-20 11:38:31","2017-02-20 12:04:17",25.77,5,8,0,0,4,0,17,1.61
b02613004,"2017-02-20 11:38:53","2017-02-20 11:49:31",10.63,1,3,0,0,1,0,5,2.66
b03204001,"2017-02-20 11:39:03","2017-02-20 11:57:54",18.85,4,6,0,0,1,0,11,1.89
b02501080,"2017-02-20 11:39:20","2017-02-20 11:59:58",20.63,1,3,0,0,4,0,8,2.95
b05501016,"2017-02-20 11:41:06","2017-02-20 12:05:32",24.43,4,6,0,0,3,0,13,2.04
b03501016,"2017-02-20 11:41:07","2017-02-20 12:00:42",19.58,4,10,0,0,1,0,15,1.40
b05501110,"2017-02-20 11:41:22","2017-02-20 12:29:51",48.48,1,3,0,1,3,0,8,6.93
b05501058,"2017-02-20 11:42:36","2017-02-20 12:21:38",39.03,2,9,0,0,2,0,13,3.25
b04501128,"2017-02-20 11:43:20","2017-02-20 12:21:06",37.77,1,8,0,0,3,0,12,3.43
b04501125,"2017-02-20 11:43:22","2017-02-20 12:18:50",35.47,5,14,0,0,4,1,24,1.54
b05501116,"2017-02-20 11:43:36","2017-02-20 12:26:43",43.12,1,11,0,0,4,0,16,2.87
b02208010,"2017-02-20 11:44:00","2017-02-20 12:36:11",52.18,6,5,0,0,2,0,13,4.35
b04501119,"2017-02-20 11:44:11","2017-02-20 11:58:32",14.35,7,0,0,1,5,0,13,1.20
b03302131,"2017-02-20 11:45:05","2017-02-20 12:13:47",28.70,3,1,0,0,4,0,8,4.10
b05501052,"2017-02-20 11:45:12","2017-02-20 12:24:24",39.20,1,12,0,0,2,0,15,2.80
b05501119,"2017-02-20 11:45:32","2017-02-20 12:15:46",30.23,1,4,0,0,1,0,6,6.05
b01204027,"2017-02-20 11:45:41","2017-02-20 20:18:06",512.42,1,6,0,1,3,0,11,51.24
b05501073,"2017-02-20 11:45:44","2017-02-20 12:08:27",22.72,1,3,0,0,2,0,6,4.54
b03501007,"2017-02-20 11:46:21","2017-02-20 12:27:26",41.08,1,2,0,0,2,0,5,10.27
b01204037,"2017-02-20 11:46:22","2017-02-20 11:53:38",7.27,1,1,0,0,3,0,5,1.82
b05501001,"2017-02-20 11:46:35","2017-02-20 11:52:42",6.12,0,2,0,0,2,0,4,2.04
b02501120,"2017-02-20 11:46:43","2017-02-21 09:05:48","1,279.08",1,4,0,0,5,0,10,142.12
b01501091,"2017-02-20 11:47:00","2017-02-20 11:51:35",4.58,1,2,0,0,0,0,3,2.29
b05501085,"2017-02-20 11:48:04","2017-02-20 12:02:17",14.22,3,4,0,0,1,0,8,2.03
b05501070,"2017-02-20 11:49:29","2017-02-20 12:15:57",26.47,4,7,0,0,2,0,13,2.21
b05501031,"2017-02-20 11:49:43","2017-02-20 12:32:33",42.83,1,1,0,0,9,0,11,4.28
b05501037,"2017-02-20 11:50:04","2017-02-20 12:31:35",41.52,1,9,0,0,5,0,15,2.97
b05501025,"2017-02-20 11:50:07","2017-02-20 11:55:38",5.52,1,2,0,0,0,0,3,2.76
b05501043,"2017-02-20 11:51:01","2017-02-20 12:26:03",35.03,1,6,0,0,4,0,11,3.50
b05501076,"2017-02-20 11:51:07","2017-02-20 12:24:39",33.53,1,4,0,0,4,0,9,4.19
b05501113,"2017-02-20 11:51:15","2017-02-20 12:38:54",47.65,2,1,0,0,4,0,7,7.94
b05501019,"2017-02-20 11:51:23","2017-02-20 12:33:25",42.03,1,3,0,0,1,0,5,10.51
b03204028,"2017-02-20 11:51:34","2017-02-20 12:00:50",9.27,4,2,0,0,0,0,6,1.85
b05501028,"2017-02-20 11:51:58","2017-02-21 04:35:56","1,003.97",1,2,0,1,8,0,12,91.27
b03204023,"2017-02-20 11:54:04","2017-02-20 12:03:21",9.28,3,0,0,0,1,1,5,2.32
b05501055,"2017-02-20 11:54:06","2017-02-20 12:35:40",41.57,1,4,0,0,7,0,12,3.78
b05501022,"2017-02-20 11:54:44","2017-02-20 12:14:08",19.40,1,4,0,0,2,0,7,3.23
b05501007,"2017-02-20 11:56:59","2017-02-20 12:09:00",12.02,6,0,0,0,0,0,6,2.40
b05501046,"2017-02-20 11:57:10","2017-02-20 12:28:02",30.87,1,5,0,1,0,0,7,5.14
b03605064,"2017-02-20 11:57:15","2017-02-20 18:46:41",409.43,1,1,0,0,0,0,2,409.43
b05501107,"2017-02-20 11:57:58","2017-02-20 12:31:49",33.85,1,1,0,0,12,0,14,2.60
b05501034,"2017-02-20 12:00:49","2017-02-20 12:28:00",27.18,1,14,0,0,2,0,17,1.70
b05501104,"2017-02-20 12:01:40","2017-02-20 12:27:37",25.95,1,3,0,0,0,0,4,8.65
b05501064,"2017-02-20 12:02:01","2017-02-20 12:19:16",17.25,1,5,0,0,0,0,6,3.45
b03505034,"2017-02-20 12:04:05","2017-02-20 12:34:24",30.32,1,2,0,0,4,0,7,5.05
b05501010,"2017-02-20 12:06:09","2017-02-20 12:24:37",18.47,2,4,0,0,4,0,10,2.05
b05501079,"2017-02-20 12:06:41","2017-02-20 12:25:23",18.70,1,5,0,0,0,0,6,3.74
b05501013,"2017-02-20 12:08:07","2017-02-20 12:31:54",23.78,2,13,0,0,4,0,19,1.32
b02501104,"2017-02-20 12:08:24","2017-02-20 12:28:33",20.15,1,7,0,0,4,0,12,1.83
b04602040,"2017-02-20 12:10:00","2017-02-20 12:36:15",26.25,1,1,0,0,5,0,7,4.38
b05501101,"2017-02-20 12:13:50","2017-02-20 12:30:57",17.12,1,3,0,0,2,0,6,3.42
b04104028,"2017-02-20 12:15:59","2017-02-20 12:31:04",15.08,1,1,0,0,4,0,6,3.02
b05501091,"2017-02-20 12:33:34","2017-02-20 13:08:38",35.07,1,2,0,0,3,0,6,7.01
