"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b04602040,"2017-04-17 10:27:25","2017-04-17 11:28:02",60.62,0,17,0,0,1,0,18,3.57
b03501124,"2017-04-17 10:29:24","2017-04-17 10:43:15",13.85,0,12,0,0,0,0,12,1.26
b05501073,"2017-04-17 10:55:24","2017-04-18 11:09:48","1,454.40",0,6,0,0,10,0,16,96.96
b01501091,"2017-04-17 11:01:57","2017-04-17 11:20:49",18.87,0,14,0,0,0,0,14,1.45
b01204037,"2017-04-17 11:03:13","2017-04-17 12:26:36",83.38,1,12,0,0,0,0,13,6.95
b04104028,"2017-04-17 11:03:54","2017-04-21 20:34:07","6,330.22",0,16,0,1,5,0,22,301.44
b04501119,"2017-04-17 11:04:10","2017-04-18 11:16:28","1,452.30",1,1,0,0,0,0,2,"1,452.30"
b03505034,"2017-04-17 11:05:09","2017-04-19 00:19:16","2,234.12",1,27,0,0,1,0,29,79.79
b05501013,"2017-04-17 11:34:31","2017-04-17 12:26:27",51.93,1,16,0,0,5,0,22,2.47
b02501120,"2017-04-17 11:34:42","2017-04-18 12:32:51","1,498.15",1,0,0,0,2,0,3,749.08
b05501046,"2017-04-17 11:35:43","2017-04-17 12:17:03",41.33,2,5,0,0,1,0,8,5.90
b03605064,"2017-04-17 11:35:54","2017-04-18 13:37:55","1,562.02",1,26,0,4,1,0,32,50.39
b05501085,"2017-04-17 11:38:25","2017-04-17 11:58:46",20.35,2,4,0,0,0,0,6,4.07
b05501037,"2017-04-17 11:40:49","2017-04-17 12:19:53",39.07,2,6,0,0,8,0,16,2.60
b02501080,"2017-04-17 11:42:58","2017-04-17 12:27:04",44.10,0,20,0,3,5,0,28,1.63
b03204001,"2017-04-17 11:48:13","2017-04-17 12:07:44",19.52,1,3,0,1,0,0,5,4.88
b04501125,"2017-04-17 11:51:08","2017-04-17 12:20:23",29.25,1,13,0,0,0,0,14,2.25
b05501025,"2017-04-17 11:56:54","2017-04-17 12:55:32",58.63,1,9,0,0,0,0,10,6.51
b05501113,"2017-04-17 11:58:02","2017-04-17 12:07:37",9.58,1,5,0,0,2,0,8,1.37
b02501116,"2017-04-17 12:01:45","2017-04-17 12:06:04",4.32,1,2,0,0,2,0,5,1.08
b05501104,"2017-04-17 12:02:58","2017-04-18 08:17:32","1,214.57",1,20,0,10,7,0,38,32.83
b05501019,"2017-04-17 12:04:16","2017-04-17 12:30:23",26.12,0,13,0,1,1,0,15,1.87
b01204027,"2017-04-17 12:05:30","2017-04-17 12:26:01",20.52,1,4,0,0,0,0,5,5.13
b05501001,"2017-04-17 12:12:18","2017-04-17 12:42:07",29.82,0,1,0,0,1,0,2,29.82
b03204023,"2017-04-17 12:17:20","2017-04-17 13:06:22",49.03,0,23,0,0,2,0,25,2.04
b05501034,"2017-04-17 12:17:29","2017-04-17 12:34:06",16.62,1,4,0,0,0,0,5,4.15
b05501010,"2017-04-17 12:19:54","2017-04-17 22:10:02",590.13,0,8,0,1,10,0,19,32.79
b05501119,"2017-04-17 12:33:53","2017-04-17 12:58:08",24.25,0,1,0,0,1,0,2,24.25
b05501028,"2017-04-17 12:34:38","2017-04-17 12:49:42",15.07,0,11,0,0,2,0,13,1.26
b03204028,"2017-04-17 12:35:09","2017-04-17 12:36:49",1.67,1,1,0,0,0,0,2,1.67
b05501022,"2017-04-17 12:37:03","2017-04-18 11:17:15","1,360.20",1,9,0,0,1,0,11,136.02
b05501101,"2017-04-17 12:39:52","2017-04-18 00:02:27",682.58,1,19,0,3,2,0,25,28.44
b02501066,"2017-04-17 12:43:08","2017-04-17 23:42:26",659.30,1,2,0,0,4,0,7,109.88
b02501104,"2017-04-17 12:50:26","2017-04-17 13:04:00",13.57,1,9,0,0,1,0,11,1.36
b03501007,"2017-04-17 12:55:39","2017-04-18 15:53:29","1,617.83",1,5,0,5,0,0,11,161.78
b04501128,"2017-04-17 12:56:11","2017-04-17 18:18:00",321.82,1,0,0,0,4,0,5,80.45
b05501076,"2017-04-17 12:57:51","2017-04-19 21:14:34","3,376.72",1,5,0,1,1,0,8,482.39
b05501079,"2017-04-17 12:59:11","2017-04-17 20:33:03",453.87,1,11,0,1,3,0,16,30.26
b05501016,"2017-04-17 13:04:55","2017-04-17 22:20:25",555.50,2,28,0,6,4,0,40,14.24
b03501016,"2017-04-17 13:12:06","2017-04-18 16:48:16","1,656.17",0,6,0,0,0,0,6,331.23
b02208010,"2017-04-17 13:37:39","2017-04-17 14:20:40",43.02,0,12,0,0,0,0,12,3.91
b05501116,"2017-04-17 15:14:29","2017-04-17 16:50:07",95.63,1,15,0,5,2,0,23,4.35
b05501004,"2017-04-17 17:24:00","2017-04-17 19:51:40",147.67,1,8,0,0,1,0,10,16.41
b05501049,"2017-04-17 19:53:11","2017-04-17 19:53:11",0.00,1,0,0,0,0,0,1,0.00
b05501091,"2017-04-18 16:56:43","2017-04-18 22:12:06",315.38,1,0,0,0,3,0,4,105.13
b05501064,"2017-04-18 16:57:23","2017-04-18 19:24:13",146.83,1,10,0,0,0,0,11,14.68
b03302131,"2017-04-21 21:34:54","2017-04-21 22:48:08",73.23,0,21,0,1,0,0,22,3.49
