"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b03501124,"2017-03-06 09:52:17","2017-03-06 10:02:49",10.53,1,4,0,1,1,0,7,1.76
b03501007,"2017-03-06 09:54:46","2017-03-06 10:46:08",51.37,1,2,0,0,1,0,4,17.12
b05501113,"2017-03-06 10:09:27","2017-03-06 10:09:27",0.00,1,0,0,0,0,0,1,0.00
b05501037,"2017-03-06 10:09:33","2017-03-06 11:07:10",57.62,1,0,8,0,0,0,9,7.20
b05501116,"2017-03-06 10:11:00","2017-03-06 10:46:27",35.45,1,1,2,0,0,0,4,11.82
b03204001,"2017-03-06 10:12:26","2017-03-06 10:14:09",1.72,1,0,0,0,2,0,3,0.86
b05501085,"2017-03-06 10:17:06","2017-03-06 10:17:06",0.00,1,0,0,0,0,0,1,0.00
b04602040,"2017-03-06 10:27:30","2017-03-06 10:31:41",4.18,1,0,0,0,2,0,3,2.09
b05501079,"2017-03-06 10:28:12","2017-03-06 10:28:12",0.00,1,0,0,0,0,0,1,0.00
b05501046,"2017-03-06 10:28:17","2017-03-06 10:30:22",2.08,1,2,0,0,1,0,4,0.69
b04501128,"2017-03-06 10:28:19","2017-03-06 10:29:24",1.08,1,1,0,0,0,0,2,1.08
b04501125,"2017-03-06 10:33:21","2017-03-06 10:35:00",1.65,1,2,0,0,0,0,3,0.83
b02501120,"2017-03-06 10:34:37","2017-03-06 10:34:37",0.00,1,0,0,0,0,0,1,0.00
b02501104,"2017-03-06 10:35:46","2017-03-06 10:35:46",0.00,1,0,0,0,0,0,1,0.00
b01204037,"2017-03-06 10:36:26","2017-03-06 10:37:35",1.15,1,1,0,0,0,0,2,1.15
b01204027,"2017-03-06 10:39:19","2017-03-06 10:41:15",1.93,1,0,1,0,0,0,2,1.93
b03501016,"2017-03-06 10:41:16","2017-03-06 11:10:32",29.27,1,0,0,1,0,0,2,29.27
b05501049,"2017-03-06 10:41:45","2017-03-06 10:41:45",0.00,1,0,0,0,0,0,1,0.00
b05501034,"2017-03-06 10:42:12","2017-03-06 10:44:18",2.10,1,2,0,0,0,0,3,1.05
b04501119,"2017-03-06 10:42:22","2017-03-06 11:19:34",37.20,1,2,0,0,5,0,8,5.31
b05501019,"2017-03-06 10:45:38","2017-03-06 10:51:26",5.80,1,3,0,0,0,0,4,1.93
b02501080,"2017-03-06 10:45:40","2017-03-06 10:46:43",1.05,1,1,0,0,1,0,3,0.53
b02501066,"2017-03-06 10:46:26","2017-03-06 10:53:29",7.05,1,3,1,0,0,0,5,1.76
b03204028,"2017-03-06 10:47:04","2017-03-06 10:47:04",0.00,1,0,0,0,0,0,1,0.00
b02208010,"2017-03-06 10:47:34","2017-03-06 10:56:28",8.90,1,2,0,0,0,0,3,4.45
b05501022,"2017-03-06 10:50:13","2017-03-06 10:50:13",0.00,1,0,0,0,0,0,1,0.00
b05501052,"2017-03-06 10:50:58","2017-03-06 10:50:58",0.00,1,0,0,0,0,0,1,0.00
b05501025,"2017-03-06 10:51:55","2017-03-06 11:07:11",15.27,1,3,0,0,0,0,4,5.09
b05501101,"2017-03-06 10:57:27","2017-03-06 10:57:27",0.00,1,0,0,0,0,0,1,0.00
b05501107,"2017-03-06 10:59:54","2017-03-06 12:15:39",75.75,1,1,0,1,0,0,3,37.88
b05501104,"2017-03-06 11:05:29","2017-03-06 11:20:18",14.82,1,3,0,0,4,0,8,2.12
b03605064,"2017-03-06 11:08:13","2017-03-06 11:08:13",0.00,1,0,0,0,0,0,1,0.00
b05501001,"2017-03-06 11:10:03","2017-03-06 11:10:03",0.00,1,0,0,0,0,0,1,0.00
b05501016,"2017-03-06 11:11:07","2017-03-06 11:11:07",0.00,1,0,0,0,0,0,1,0.00
b04104028,"2017-03-06 11:11:46","2017-03-06 12:23:20",71.57,1,5,0,1,1,0,8,10.22
b03505034,"2017-03-06 11:14:10","2017-03-06 11:29:24",15.23,1,1,0,0,1,0,3,7.62
b05501007,"2017-03-06 11:14:54","2017-03-06 11:19:40",4.77,1,0,2,0,0,0,3,2.38
b03204023,"2017-03-06 11:15:35","2017-03-06 11:15:35",0.00,1,0,0,0,0,0,1,0.00
b01501091,"2017-03-06 11:17:20","2017-03-06 11:26:02",8.70,1,5,0,0,0,0,6,1.74
b05501010,"2017-03-06 11:26:26","2017-03-06 11:32:07",5.68,1,7,0,0,0,0,8,0.81
b05501013,"2017-03-06 11:33:25","2017-03-06 11:34:43",1.30,1,1,0,0,0,0,2,1.30
b05501028,"2017-03-06 11:33:31","2017-03-06 11:35:17",1.77,1,2,0,0,0,0,3,0.88
b05501070,"2017-03-06 11:37:30","2017-03-06 11:47:39",10.15,1,1,2,0,1,0,5,2.54
b05501119,"2017-03-06 11:46:30","2017-03-06 11:48:01",1.52,1,1,0,0,0,0,2,1.52
b05501058,"2017-03-06 11:51:49","2017-03-06 11:51:49",0.00,1,0,0,0,0,0,1,0.00
b05501064,"2017-03-06 11:53:56","2017-03-06 11:54:58",1.03,1,1,0,0,0,0,2,1.03
b05501073,"2017-03-06 12:03:37","2017-03-06 12:03:37",0.00,1,0,0,0,0,0,1,0.00
b05501004,"2017-03-06 12:07:24","2017-03-06 12:23:59",16.58,1,7,0,0,0,0,8,2.37
b03302131,"2017-03-06 12:09:53","2017-03-06 12:10:24",0.52,1,1,0,0,0,0,2,0.52
b05501076,"2017-03-06 12:14:28","2017-03-06 12:19:00",4.53,1,3,0,0,0,0,4,1.51
b05501043,"2017-03-06 12:22:06","2017-03-06 12:22:06",0.00,1,0,0,0,0,0,1,0.00
b05501055,"2017-03-06 12:24:06","2017-03-06 12:24:06",0.00,1,0,0,0,0,0,1,0.00
b02501116,"2017-03-06 12:26:14","2017-03-06 12:26:14",0.00,1,0,0,0,0,0,1,0.00
b05501091,"2017-03-06 12:49:14","2017-03-06 12:49:14",0.00,1,0,0,0,0,0,1,0.00
b05501110,"2017-03-06 12:55:09","2017-03-06 12:55:09",0.00,1,0,0,0,0,0,1,0.00
