"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b02501120,"2017-06-05 09:38:17","2017-06-05 09:42:59",4.70,1,0,0,0,3,0,4,1.57
b05501085,"2017-06-05 09:42:52","2017-06-05 09:42:52",0.00,1,0,0,0,0,0,1,0.00
b01204037,"2017-06-05 09:43:26","2017-06-05 09:43:26",0.00,1,0,0,0,0,0,1,0.00
b01204027,"2017-06-05 09:56:45","2017-06-05 09:56:45",0.00,1,0,0,0,0,0,1,0.00
b05501037,"2017-06-05 09:56:45","2017-06-05 10:14:33",17.80,1,1,0,0,1,0,3,8.90
b05501113,"2017-06-05 09:57:00","2017-06-05 10:34:53",37.88,1,3,0,0,2,0,6,7.58
b05501091,"2017-06-05 10:00:58","2017-06-05 10:00:58",0.00,1,0,0,0,0,0,1,0.00
b05501034,"2017-06-05 10:04:37","2017-06-05 10:52:59",48.37,1,1,0,0,0,0,4,16.12
b05501104,"2017-06-05 10:09:27","2017-06-05 10:09:27",0.00,1,0,0,0,0,0,1,0.00
b05501116,"2017-06-05 10:17:25","2017-06-05 10:57:32",40.12,1,2,0,0,0,0,4,13.37
b03501007,"2017-06-05 10:23:25","2017-06-05 10:23:25",0.00,1,0,0,0,0,0,1,0.00
b04602040,"2017-06-05 10:25:01","2017-06-05 10:31:35",6.57,1,0,0,0,0,0,3,3.28
b03605064,"2017-06-05 10:25:07","2017-06-05 11:27:12",62.08,1,3,0,3,1,0,8,8.87
b05501046,"2017-06-05 10:25:28","2017-06-05 11:19:29",54.02,1,2,0,0,0,0,5,13.50
b03204001,"2017-06-05 10:31:23","2017-06-05 11:12:00",40.62,3,1,0,4,0,0,9,5.08
b05501019,"2017-06-05 10:48:19","2017-06-05 10:48:19",0.00,1,0,0,0,0,0,1,0.00
b05501016,"2017-06-05 10:50:09","2017-06-05 16:08:58",318.82,3,2,0,0,0,0,5,79.70
b05501052,"2017-06-05 10:55:13","2017-06-05 10:57:13",2.00,1,0,0,0,1,0,2,2.00
b01501091,"2017-06-05 10:57:13","2017-06-05 10:57:13",0.00,1,0,0,0,0,0,1,0.00
b03204028,"2017-06-05 11:07:35","2017-06-05 11:08:16",0.68,1,0,0,0,1,0,2,0.68
b02501104,"2017-06-05 11:11:07","2017-06-05 11:46:00",34.88,2,3,0,0,0,0,13,2.91
b03501016,"2017-06-05 11:11:54","2017-06-05 11:13:49",1.92,1,1,0,0,1,0,3,0.96
b04104028,"2017-06-05 11:17:36","2017-06-05 11:17:36",0.00,1,0,0,0,0,0,1,0.00
b05501022,"2017-06-05 11:18:49","2017-06-05 11:18:49",0.00,1,0,0,0,0,0,1,0.00
b04501125,"2017-06-05 11:18:51","2017-06-05 16:05:52",287.02,3,3,0,0,0,0,6,57.40
b03505034,"2017-06-05 11:21:42","2017-06-05 11:21:42",0.00,1,0,0,0,0,0,1,0.00
b03204023,"2017-06-05 11:22:36","2017-06-05 11:31:47",9.18,1,2,0,2,0,0,9,1.15
b05501025,"2017-06-05 11:27:10","2017-06-05 12:00:55",33.75,1,6,0,0,0,0,7,5.63
b03501124,"2017-06-05 11:32:24","2017-06-05 11:38:32",6.13,1,4,0,0,1,0,6,1.23
b05501064,"2017-06-05 11:39:17","2017-06-06 13:10:52","1,531.58",1,21,0,0,0,0,22,72.93
b05501070,"2017-06-05 11:50:09","2017-06-05 12:31:07",40.97,1,6,0,0,1,0,13,3.41
b04501119,"2017-06-05 11:58:41","2017-06-05 11:58:41",0.00,1,0,0,0,0,0,1,0.00
b05501101,"2017-06-05 12:07:04","2017-06-05 12:29:52",22.80,1,2,0,0,1,0,4,7.60
b05501010,"2017-06-05 12:12:13","2017-06-05 15:54:14",222.02,0,4,0,0,1,0,5,55.50
b05501028,"2017-06-05 15:21:42","2017-06-05 15:22:00",0.30,2,0,0,0,0,0,2,0.30
b02501066,"2017-06-05 15:39:00","2017-06-05 15:39:00",0.00,1,0,0,0,0,0,1,0.00
b05501013,"2017-06-05 21:23:35","2017-06-05 23:32:40",129.08,1,2,0,0,0,0,3,64.54
b02501116,"2017-06-05 23:42:07","2017-06-05 23:47:14",5.12,1,0,0,1,0,0,2,5.12
b04501128,"2017-06-05 23:48:52","2017-06-05 23:49:20",0.47,1,0,0,0,1,0,2,0.47
b05501079,"2017-06-06 01:16:53","2017-06-06 11:13:56",597.05,1,22,0,2,3,0,32,19.26
b02208010,"2017-06-06 10:09:01","2017-06-06 10:09:01",0.00,1,0,0,0,0,0,1,0.00
b05501049,"2017-06-06 10:09:31","2017-06-06 10:09:31",0.00,1,0,0,0,0,0,1,0.00
b05501007,"2017-06-06 11:54:59","2017-06-06 12:03:30",8.52,1,6,0,0,3,0,10,0.95
b05501073,"2017-06-06 13:22:46","2017-06-06 13:22:59",0.22,1,0,0,0,1,0,2,0.22
b03302131,"2017-06-06 14:00:47","2017-06-06 14:00:47",0.00,1,0,0,0,0,0,1,0.00
b05501107,"2017-06-06 14:46:12","2017-06-06 14:47:38",1.43,1,0,0,0,2,0,3,0.72
b05501119,"2017-06-06 15:45:46","2017-06-06 15:45:46",0.00,1,0,0,0,0,0,1,0.00
