"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b05501085,"2017-06-05 09:44:21","2017-06-05 09:44:21",0.00,1,0,0,0,0,0,1,0.00
b04602040,"2017-06-05 10:26:14","2017-06-05 10:26:14",0.00,1,0,0,0,0,0,1,0.00
b05501046,"2017-06-05 10:42:49","2017-06-05 10:42:49",0.00,1,0,0,0,0,0,1,0.00
b01204037,"2017-06-05 10:47:21","2017-06-05 10:48:22",1.02,1,1,0,0,0,0,2,1.02
b05501037,"2017-06-05 10:57:57","2017-06-05 10:59:52",1.92,1,1,0,0,0,0,2,1.92
b05501104,"2017-06-05 11:09:24","2017-06-05 11:28:11",18.78,1,3,0,0,1,0,5,4.70
b01204027,"2017-06-05 11:13:53","2017-06-05 11:15:04",1.18,1,1,0,0,0,0,2,1.18
b02501120,"2017-06-05 11:30:19","2017-06-05 11:39:47",9.47,0,0,0,0,4,0,4,3.16
b05501019,"2017-06-05 11:31:32","2017-06-05 11:34:12",2.67,1,1,0,0,0,0,2,2.67
b05501016,"2017-06-05 11:32:39","2017-06-05 11:49:58",17.32,1,2,0,1,0,0,4,5.77
b05501113,"2017-06-05 11:34:36","2017-06-05 11:39:13",4.62,1,0,0,3,0,0,4,1.54
b03204023,"2017-06-05 11:38:32","2017-06-05 12:17:27",38.92,1,0,0,1,0,0,2,38.92
b05501034,"2017-06-05 11:44:18","2017-06-05 11:47:52",3.57,1,1,0,0,1,0,3,1.78
b03501124,"2017-06-05 11:45:13","2017-06-05 11:50:01",4.80,1,3,0,0,1,0,5,1.20
b03204001,"2017-06-05 11:53:17","2017-06-05 11:53:17",0.00,1,0,0,0,0,0,1,0.00
b05501010,"2017-06-05 11:54:03","2017-06-05 11:54:54",0.85,1,1,0,0,0,0,2,0.85
b04501119,"2017-06-05 12:00:19","2017-06-05 12:01:58",1.65,1,0,0,0,2,0,3,0.83
b03505034,"2017-06-05 12:04:42","2017-06-05 12:04:42",0.00,1,0,0,0,0,0,1,0.00
b03501016,"2017-06-05 12:05:09","2017-06-05 12:05:09",0.00,1,0,0,0,0,0,1,0.00
b04104028,"2017-06-05 12:06:06","2017-06-05 13:10:47",64.68,1,2,0,1,1,0,5,16.17
b03501007,"2017-06-05 12:13:42","2017-06-05 12:17:47",4.08,1,2,0,0,0,0,3,2.04
b03204028,"2017-06-05 12:14:20","2017-06-05 12:15:33",1.22,1,0,0,0,1,0,2,1.22
b05501116,"2017-06-05 12:16:51","2017-06-05 12:19:09",2.30,1,1,0,0,0,0,2,2.30
b01501091,"2017-06-05 12:18:43","2017-06-05 12:18:43",0.00,1,0,0,0,0,0,1,0.00
b05501052,"2017-06-05 12:21:21","2017-06-05 12:21:21",0.00,1,0,0,0,0,0,1,0.00
b05501070,"2017-06-05 12:35:06","2017-06-05 12:35:06",0.00,0,0,0,0,1,0,1,0.00
b04501125,"2017-06-05 12:38:01","2017-06-05 12:39:30",1.48,1,1,0,0,0,0,2,1.48
b05501022,"2017-06-05 12:38:07","2017-06-05 12:48:25",10.30,1,1,0,0,3,0,5,2.58
b03605064,"2017-06-05 12:46:08","2017-06-05 12:46:08",0.00,1,0,0,0,0,0,1,0.00
b05501101,"2017-06-05 13:07:10","2017-06-05 13:10:16",3.10,1,1,0,0,1,0,3,1.55
b02501104,"2017-06-05 13:08:42","2017-06-05 13:08:42",0.00,0,0,0,1,0,0,1,0.00
b05501028,"2017-06-05 15:23:15","2017-06-05 15:24:31",1.27,1,0,0,0,1,0,2,1.27
b05501076,"2017-06-05 16:03:49","2017-06-05 16:06:51",3.03,1,0,0,0,2,0,3,1.52
b02501066,"2017-06-05 18:19:50","2017-06-05 18:24:49",4.98,1,2,0,0,1,0,4,1.66
b04501128,"2017-06-05 23:51:12","2017-06-05 23:55:05",3.88,1,2,0,0,1,0,4,1.29
b05501013,"2017-06-06 02:55:22","2017-06-06 02:55:22",0.00,1,0,0,0,0,0,1,0.00
b05501079,"2017-06-06 10:18:29","2017-06-06 10:20:31",2.03,1,1,0,0,0,0,2,2.03
b05501049,"2017-06-06 10:30:42","2017-06-06 10:30:42",0.00,1,0,0,0,0,0,1,0.00
b05501007,"2017-06-06 11:40:39","2017-06-06 11:40:39",0.00,1,0,0,0,0,0,1,0.00
b05501091,"2017-06-06 12:59:00","2017-06-06 16:53:09",234.15,1,0,0,0,3,0,4,78.05
b05501073,"2017-06-06 13:44:38","2017-06-06 13:44:38",0.00,1,0,0,0,0,0,1,0.00
b03302131,"2017-06-06 14:05:35","2017-06-06 14:17:23",11.80,1,1,0,0,1,0,3,5.90
b05501107,"2017-06-06 14:50:04","2017-06-06 15:04:06",14.03,1,2,0,0,3,0,6,2.81
b02208010,"2017-06-06 15:43:10","2017-06-06 15:58:46",15.60,1,0,0,0,2,0,3,7.80
b05501119,"2017-06-06 15:48:23","2017-06-06 15:48:23",0.00,1,0,0,0,0,0,1,0.00
b02501116,"2017-06-06 16:29:34","2017-06-06 16:58:25",28.85,1,2,0,0,1,0,4,9.62
