"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b05501104,"2017-05-08 09:22:50","2017-05-08 11:07:26",104.60,1,2,0,5,3,0,11,10.46
b04602040,"2017-05-08 09:28:58","2017-05-08 09:35:59",7.02,1,1,0,1,0,0,3,3.51
b01204037,"2017-05-08 09:33:47","2017-05-08 09:33:47",0.00,1,0,0,0,0,0,1,0.00
b05501037,"2017-05-08 09:54:54","2017-05-08 09:56:26",1.53,1,1,0,0,0,0,2,1.53
b03501007,"2017-05-08 10:04:58","2017-05-08 10:21:46",16.80,1,1,0,0,3,0,5,4.20
b05501046,"2017-05-08 10:13:25","2017-05-08 10:23:35",10.17,1,0,0,4,1,0,6,2.03
b05501085,"2017-05-08 10:13:48","2017-05-08 10:13:48",0.00,1,0,0,0,0,0,1,0.00
b05501113,"2017-05-08 10:15:38","2017-05-08 10:27:09",11.52,1,3,0,0,2,0,6,2.30
b02501120,"2017-05-08 10:24:39","2017-05-08 10:34:45",10.10,1,4,0,0,3,0,8,1.44
b04501128,"2017-05-08 10:25:51","2017-05-08 10:26:46",0.92,1,0,0,0,1,0,2,0.92
b01204027,"2017-05-08 10:25:57","2017-05-08 10:29:33",3.60,1,2,0,0,0,0,3,1.80
b05501034,"2017-05-08 10:26:47","2017-05-08 10:29:59",3.20,1,1,0,0,1,0,3,1.60
b03605064,"2017-05-08 10:29:54","2017-05-08 11:08:43",38.82,1,5,0,3,0,0,9,4.85
b03505034,"2017-05-08 10:36:16","2017-05-08 12:45:32",129.27,2,0,0,0,0,0,2,129.27
b02501116,"2017-05-08 10:37:31","2017-05-08 10:38:37",1.10,1,1,0,0,0,0,2,1.10
b03501124,"2017-05-08 10:38:35","2017-05-08 10:43:58",5.38,1,1,0,0,1,0,3,2.69
b05501013,"2017-05-08 10:44:13","2017-05-08 10:45:18",1.08,1,1,0,0,0,0,2,1.08
b05501010,"2017-05-08 10:44:16","2017-05-08 12:57:34",133.30,1,2,0,13,3,0,19,7.41
b05501116,"2017-05-08 10:45:22","2017-05-08 10:48:16",2.90,2,3,0,0,0,0,5,0.73
b05501019,"2017-05-08 10:52:09","2017-05-08 10:52:09",0.00,1,0,0,0,0,0,1,0.00
b05501079,"2017-05-08 10:57:29","2017-05-08 11:04:07",6.63,1,0,0,0,1,0,2,6.63
b05501016,"2017-05-08 11:05:00","2017-05-08 11:13:43",8.72,1,2,0,0,1,0,4,2.91
b05501101,"2017-05-08 11:10:10","2017-05-08 12:27:58",77.80,1,2,0,3,0,0,6,15.56
b02501104,"2017-05-08 11:15:35","2017-05-08 11:17:09",1.57,1,1,0,0,0,0,2,1.57
b02501066,"2017-05-08 11:16:33","2017-05-08 11:21:00",4.45,1,2,0,0,0,0,3,2.23
b01501091,"2017-05-08 11:16:40","2017-05-08 11:16:40",0.00,1,0,0,0,0,0,1,0.00
b04501125,"2017-05-08 11:38:12","2017-05-08 11:47:18",9.10,1,1,0,0,0,0,2,9.10
b02208010,"2017-05-08 11:39:43","2017-05-08 11:42:24",2.68,2,0,0,0,1,0,3,1.34
b05501007,"2017-05-08 11:42:28","2017-05-08 11:43:33",1.08,1,1,0,0,0,0,2,1.08
b05501049,"2017-05-08 11:44:44","2017-05-08 11:44:44",0.00,1,0,0,0,0,0,1,0.00
b03204001,"2017-05-08 11:45:24","2017-05-08 11:45:24",0.00,1,0,0,0,0,0,1,0.00
b05501070,"2017-05-08 11:47:25","2017-05-08 11:50:09",2.73,0,0,0,2,0,0,2,2.73
b03302131,"2017-05-08 11:52:03","2017-05-08 11:52:03",0.00,1,0,0,0,0,0,1,0.00
b05501025,"2017-05-08 11:52:47","2017-05-08 12:58:03",65.27,1,4,0,0,3,0,8,9.32
b05501073,"2017-05-08 12:10:33","2017-05-08 12:25:46",15.22,1,1,0,1,1,0,4,5.07
b03501016,"2017-05-08 12:15:41","2017-05-08 12:20:06",4.42,1,2,0,0,1,0,4,1.47
b05501004,"2017-05-08 12:18:18","2017-05-08 12:23:32",5.23,1,3,0,0,0,0,4,1.74
b05501028,"2017-05-08 12:18:43","2017-05-08 12:18:43",0.00,1,0,0,0,0,0,1,0.00
b03204023,"2017-05-08 12:20:34","2017-05-08 12:20:34",0.00,1,0,0,0,0,0,1,0.00
b04104028,"2017-05-08 12:28:31","2017-05-08 12:33:40",5.15,1,1,0,0,0,0,2,5.15
b05501022,"2017-05-08 12:28:43","2017-05-09 11:26:12","1,377.48",1,2,0,0,1,0,4,459.16
b02501080,"2017-05-08 12:42:46","2017-05-08 12:42:46",0.00,1,0,0,0,0,0,1,0.00
b05501076,"2017-05-08 22:46:05","2017-05-08 22:47:03",0.97,1,0,0,1,0,0,2,0.97
b03204028,"2017-05-08 23:33:09","2017-05-08 23:59:07",25.97,1,0,0,6,0,0,7,4.33
b05501064,"2017-05-09 03:42:39","2017-05-09 15:45:27",722.80,2,0,0,0,2,0,4,240.93
b05501119,"2017-05-09 11:42:56","2017-05-09 11:42:56",0.00,1,0,0,0,0,0,1,0.00
b05501091,"2017-05-09 21:39:39","2017-05-09 23:44:52",125.22,1,2,0,0,0,0,3,62.61
b04501119,"2017-05-09 23:38:16","2017-05-11 23:38:15","2,879.98",1,0,0,0,8,0,9,360.00
