"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b04602040,"2017-05-08 09:46:25","2017-05-08 09:50:10",3.75,1,1,0,0,0,0,2,3.75
b01204037,"2017-05-08 10:05:39","2017-05-08 10:05:39",0.00,1,0,0,0,0,0,1,0.00
b03501007,"2017-05-08 10:29:05","2017-05-08 10:35:52",6.78,1,2,0,0,0,0,3,3.39
b05501037,"2017-05-08 10:37:39","2017-05-08 10:37:39",0.00,1,0,0,0,0,0,1,0.00
b05501028,"2017-05-08 10:44:58","2017-05-08 12:17:29",92.52,1,4,0,0,0,0,5,23.13
b03501124,"2017-05-08 10:52:29","2017-05-08 10:58:03",5.57,2,2,0,1,2,0,7,0.93
b05501085,"2017-05-08 10:55:22","2017-05-08 10:56:26",1.07,1,0,0,0,1,0,2,1.07
b03501016,"2017-05-08 10:59:08","2017-05-08 11:04:16",5.13,1,1,0,0,1,0,3,2.57
b05501046,"2017-05-08 11:01:17","2017-05-08 11:01:17",0.00,1,0,0,0,0,0,1,0.00
b01204027,"2017-05-08 11:01:50","2017-05-08 11:08:28",6.63,1,1,0,0,0,0,2,6.63
b02208010,"2017-05-08 11:11:55","2017-05-08 11:11:55",0.00,1,0,0,0,0,0,1,0.00
b01501091,"2017-05-08 11:17:30","2017-05-08 11:32:02",14.53,1,1,0,0,0,0,2,14.53
b02501066,"2017-05-08 11:21:55","2017-05-08 11:34:09",12.23,1,2,0,0,0,0,3,6.12
b05501113,"2017-05-08 11:22:26","2017-05-08 11:42:33",20.12,1,6,0,0,0,0,7,3.35
b03204001,"2017-05-08 11:22:53","2017-05-08 11:54:15",31.37,2,2,0,0,0,0,4,10.46
b02501120,"2017-05-08 11:29:08","2017-05-08 12:13:27",44.32,1,1,0,0,0,0,2,44.32
b05501034,"2017-05-08 11:30:21","2017-05-08 11:30:21",0.00,1,0,0,0,0,0,1,0.00
b05501019,"2017-05-08 11:33:36","2017-05-08 11:35:02",1.43,1,1,0,0,0,0,2,1.43
b05501079,"2017-05-08 11:34:01","2017-05-08 12:02:16",28.25,1,5,0,0,0,0,6,5.65
b02501116,"2017-05-08 11:34:02","2017-05-08 11:53:04",19.03,0,3,0,0,4,0,7,3.17
b04501128,"2017-05-08 11:36:00","2017-05-08 11:40:32",4.53,1,0,0,2,1,0,4,1.51
b05501013,"2017-05-08 11:37:14","2017-05-08 11:39:22",2.13,1,1,0,0,0,0,2,2.13
b03605064,"2017-05-08 11:37:53","2017-05-08 11:42:21",4.47,1,1,0,0,0,0,2,4.47
b05501016,"2017-05-08 11:49:28","2017-05-08 11:51:07",1.65,1,1,0,0,0,0,2,1.65
b05501010,"2017-05-08 11:51:35","2017-05-08 11:52:27",0.87,1,1,0,0,0,0,2,0.87
b05501104,"2017-05-08 11:53:40","2017-05-08 12:06:12",12.53,3,0,0,0,0,0,3,6.27
b05501116,"2017-05-08 11:56:52","2017-05-08 12:09:49",12.95,1,3,0,0,0,0,4,4.32
b05501043,"2017-05-08 12:06:32","2017-05-08 12:08:07",1.58,2,0,0,0,1,0,3,0.79
b02501104,"2017-05-08 12:17:39","2017-05-08 12:17:39",0.00,1,0,0,0,0,0,1,0.00
b04501125,"2017-05-08 12:17:50","2017-05-08 12:19:49",1.98,1,1,0,0,0,0,2,1.98
b05501007,"2017-05-08 12:27:11","2017-05-08 12:28:40",1.48,1,1,0,0,0,0,2,1.48
b03505034,"2017-05-08 12:34:35","2017-05-08 12:34:35",0.00,1,0,0,0,0,0,1,0.00
b05501049,"2017-05-08 12:38:18","2017-05-08 12:41:29",3.18,1,1,0,0,0,0,2,3.18
b04104028,"2017-05-08 12:40:22","2017-05-08 12:40:22",0.00,1,0,0,0,0,0,1,0.00
b03302131,"2017-05-08 12:40:24","2017-05-08 12:40:24",0.00,1,0,0,0,0,0,1,0.00
b02501080,"2017-05-08 12:43:44","2017-05-08 12:43:44",0.00,1,0,0,0,0,0,1,0.00
b03204023,"2017-05-08 12:51:03","2017-05-08 12:55:41",4.63,1,2,0,0,0,0,3,2.32
b05501004,"2017-05-08 13:03:15","2017-05-08 13:06:24",3.15,1,1,0,0,0,0,2,3.15
b05501101,"2017-05-08 13:06:35","2017-05-08 13:19:02",12.45,1,3,0,0,0,0,4,4.15
b05501073,"2017-05-08 18:18:02","2017-05-08 18:20:38",2.60,1,1,0,0,0,0,2,2.60
b05501025,"2017-05-08 20:34:24","2017-05-08 20:34:24",0.00,1,0,0,0,0,0,1,0.00
b05501076,"2017-05-08 22:48:02","2017-05-08 22:48:02",0.00,1,0,0,0,0,0,1,0.00
b05501022,"2017-05-08 23:24:48","2017-05-08 23:32:19",7.52,1,3,0,0,0,0,4,2.51
b03204028,"2017-05-09 00:49:01","2017-05-09 00:58:09",9.13,1,1,0,0,0,0,2,9.13
b05501119,"2017-05-09 11:56:41","2017-05-09 11:56:41",0.00,1,0,0,0,0,0,1,0.00
b05501064,"2017-05-09 13:31:03","2017-05-09 15:52:30",141.45,2,0,0,0,1,0,3,70.73
b05501091,"2017-05-09 21:44:20","2017-05-09 23:30:09",105.82,1,3,0,0,0,0,4,35.27
b04501119,"2017-05-09 23:53:32","2017-05-11 23:40:06","2,866.57",1,0,0,0,2,0,3,"1,433.28"
