"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b04602040,"2017-05-22 09:28:39","2017-05-22 09:28:39",0.00,1,0,0,0,0,0,1,0.00
b01204037,"2017-05-22 09:38:52","2017-05-22 09:38:52",0.00,1,0,0,0,0,0,1,0.00
b05501116,"2017-05-22 09:54:17","2017-05-22 10:33:15",38.97,5,1,0,0,4,0,10,4.33
b03501124,"2017-05-22 10:00:26","2017-05-22 10:09:59",9.55,1,1,0,0,8,0,10,1.06
b03501007,"2017-05-22 10:05:44","2017-05-22 10:07:54",2.17,1,0,0,0,1,0,2,2.17
b01204027,"2017-05-22 10:09:30","2017-05-22 10:14:24",4.90,1,1,0,0,0,0,2,4.90
b05501037,"2017-05-22 10:19:18","2017-05-22 10:33:01",13.72,1,2,0,0,2,0,5,3.43
b05501046,"2017-05-22 10:20:40","2017-05-22 10:20:40",0.00,1,0,0,0,0,0,1,0.00
b05501085,"2017-05-22 10:21:09","2017-05-22 10:53:15",32.10,1,0,0,1,2,0,4,10.70
b03204023,"2017-05-22 10:22:26","2017-05-22 10:54:20",31.90,1,1,0,2,0,0,4,10.63
b05501034,"2017-05-22 10:25:42","2017-05-22 10:42:17",16.58,1,2,0,0,0,0,3,8.29
b02501104,"2017-05-22 10:31:44","2017-05-22 11:00:55",29.18,1,0,0,0,3,0,4,9.73
b05501073,"2017-05-22 10:40:05","2017-05-22 18:50:58",490.88,2,2,0,0,4,0,8,70.13
b05501113,"2017-05-22 10:43:48","2017-05-22 10:47:15",3.45,1,0,0,0,1,0,2,3.45
b03204001,"2017-05-22 10:48:07","2017-05-22 10:48:07",0.00,1,0,0,0,0,0,1,0.00
b05501013,"2017-05-22 10:50:37","2017-05-22 10:51:07",0.50,1,0,0,0,1,0,2,0.50
b05501022,"2017-05-22 10:51:44","2017-05-22 10:51:44",0.00,1,0,0,0,0,0,1,0.00
b05501019,"2017-05-22 10:53:08","2017-05-22 10:53:08",0.00,1,0,0,0,0,0,1,0.00
b04501125,"2017-05-22 10:53:35","2017-05-22 10:55:19",1.73,1,0,0,0,2,0,3,0.87
b05501007,"2017-05-22 10:59:17","2017-05-22 11:04:56",5.65,1,0,0,0,2,0,3,2.83
b05501104,"2017-05-22 10:59:57","2017-05-22 11:39:12",39.25,1,2,0,0,1,0,4,13.08
b03605064,"2017-05-22 11:02:36","2017-05-22 11:24:16",21.67,1,0,0,0,2,0,3,10.83
b05501016,"2017-05-22 11:06:21","2017-05-22 11:10:57",4.60,1,0,0,0,3,0,4,1.53
b03505034,"2017-05-22 11:07:52","2017-05-22 11:07:52",0.00,1,0,0,0,0,0,1,0.00
b02501080,"2017-05-22 11:08:48","2017-05-22 11:18:25",9.62,1,1,0,0,2,0,4,3.21
b02501066,"2017-05-22 11:10:20","2017-05-22 11:10:20",0.00,1,0,0,0,0,0,1,0.00
b03302131,"2017-05-22 11:10:54","2017-05-23 09:33:51","1,342.95",1,0,0,0,1,0,2,"1,342.95"
b03501016,"2017-05-22 11:12:42","2017-05-22 11:12:42",0.00,1,0,0,0,0,0,1,0.00
b03204028,"2017-05-22 11:12:54","2017-05-22 11:12:54",0.00,1,0,0,0,0,0,1,0.00
b05501079,"2017-05-22 11:23:44","2017-05-22 11:27:36",3.87,1,2,0,0,0,0,3,1.93
b02501120,"2017-05-22 11:30:21","2017-05-22 12:02:51",32.50,1,3,0,0,4,0,8,4.64
b02501116,"2017-05-22 11:31:15","2017-05-22 11:48:08",16.88,1,0,0,0,2,0,3,8.44
b01501091,"2017-05-22 11:51:07","2017-05-22 11:51:07",0.00,1,0,0,0,0,0,1,0.00
b05501064,"2017-05-22 11:58:23","2017-05-22 11:58:23",0.00,1,0,0,0,0,0,1,0.00
b04104028,"2017-05-22 11:58:58","2017-05-22 12:01:36",2.63,1,1,0,0,0,0,2,2.63
b05501025,"2017-05-22 11:59:18","2017-05-22 12:28:47",29.48,0,0,0,0,6,0,6,5.90
b05501091,"2017-05-22 12:07:25","2017-05-22 12:07:25",0.00,1,0,0,0,0,0,1,0.00
b05501101,"2017-05-22 12:43:17","2017-05-22 12:43:17",0.00,1,0,0,0,0,0,1,0.00
b04501128,"2017-05-22 13:10:25","2017-05-22 13:11:26",1.02,1,0,0,0,1,0,2,1.02
b05501004,"2017-05-22 16:15:09","2017-05-22 16:37:30",22.35,1,0,0,0,8,0,9,2.79
b05501028,"2017-05-22 17:28:29","2017-05-22 17:28:29",0.00,1,0,0,0,0,0,1,0.00
b05501076,"2017-05-22 18:51:46","2017-05-22 18:51:46",0.00,1,0,0,0,0,0,1,0.00
b05501049,"2017-05-23 01:57:38","2017-05-23 02:06:31",8.88,1,0,0,0,2,0,3,4.44
b02208010,"2017-05-23 09:59:17","2017-05-23 10:01:10",1.88,1,0,0,0,1,0,2,1.88
b05501010,"2017-05-23 10:50:37","2017-05-23 10:50:37",0.00,1,0,0,0,0,0,1,0.00
b05501119,"2017-05-23 11:11:00","2017-05-23 11:12:19",1.32,1,0,0,0,1,0,2,1.32
b05501107,"2017-05-23 14:42:02","2017-05-23 14:45:12",3.17,1,0,0,0,2,0,3,1.58
