"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b04602040,"2017-05-22 09:37:41","2017-05-22 09:41:47",4.10,1,0,1,0,1,0,3,2.05
b01204037,"2017-05-22 09:55:12","2017-05-22 09:55:12",0.00,1,0,0,0,0,0,1,0.00
b02501120,"2017-05-22 10:07:10","2017-05-22 10:16:13",9.05,1,0,2,0,1,0,4,3.02
b03501007,"2017-05-22 10:10:53","2017-05-22 10:56:42",45.82,1,0,0,0,6,0,7,7.64
b03501124,"2017-05-22 10:13:59","2017-05-22 10:17:31",3.53,1,0,1,0,3,0,5,0.88
b05501091,"2017-05-22 10:19:06","2017-05-22 10:40:34",21.47,1,0,1,1,0,0,3,10.73
b05501116,"2017-05-22 10:21:31","2017-05-22 10:26:24",4.88,1,1,0,1,0,0,3,2.44
b01204027,"2017-05-22 10:28:26","2017-05-22 10:38:33",10.12,1,0,0,1,0,0,2,10.12
b05501046,"2017-05-22 10:47:33","2017-05-22 10:47:33",0.00,1,0,0,0,0,0,1,0.00
b05501034,"2017-05-22 10:55:23","2017-05-22 10:58:29",3.10,1,0,0,0,2,0,3,1.55
b05501037,"2017-05-22 10:59:39","2017-05-22 11:07:14",7.58,1,0,0,0,1,0,2,7.58
b05501013,"2017-05-22 11:05:12","2017-05-22 11:06:18",1.10,1,0,0,0,1,0,2,1.10
b05501113,"2017-05-22 11:05:49","2017-05-22 11:06:23",0.57,1,0,0,0,1,0,2,0.57
b05501085,"2017-05-22 11:06:16","2017-05-23 02:15:13",908.95,3,0,1,0,1,0,5,227.24
b02501104,"2017-05-22 11:06:27","2017-05-22 11:06:27",0.00,1,0,0,0,0,0,1,0.00
b02501080,"2017-05-22 11:10:06","2017-05-22 11:14:15",4.15,1,0,1,0,2,0,4,1.38
b02501066,"2017-05-22 11:11:19","2017-05-22 11:12:27",1.13,1,0,1,0,0,0,2,1.13
b03501016,"2017-05-22 11:13:41","2017-05-22 11:20:49",7.13,1,0,0,0,3,0,4,2.38
b05501019,"2017-05-22 11:15:03","2017-05-22 11:15:03",0.00,1,0,0,0,0,0,1,0.00
b05501016,"2017-05-22 11:24:10","2017-05-22 11:24:10",0.00,1,0,0,0,0,0,1,0.00
b05501073,"2017-05-22 11:24:30","2017-05-22 11:31:44",7.23,1,0,0,0,2,0,3,3.62
b03204001,"2017-05-22 11:25:03","2017-05-22 11:25:03",0.00,1,0,0,0,0,0,1,0.00
b05501022,"2017-05-22 11:26:12","2017-05-22 11:26:12",0.00,1,0,0,0,0,0,1,0.00
b03204023,"2017-05-22 11:27:22","2017-05-22 11:33:18",5.93,1,0,1,0,2,0,4,1.98
b05501007,"2017-05-22 11:32:37","2017-05-22 11:37:48",5.18,1,0,0,0,2,0,3,2.59
b02501116,"2017-05-22 11:33:55","2017-05-23 09:38:40","1,324.75",1,0,5,0,4,0,10,147.19
b03204028,"2017-05-22 11:35:05","2017-05-22 11:35:05",0.00,1,0,0,0,0,0,1,0.00
b04501125,"2017-05-22 11:38:11","2017-05-22 11:44:19",6.13,1,0,0,0,4,0,5,1.53
b03605064,"2017-05-22 11:39:56","2017-05-22 11:45:37",5.68,1,0,3,0,0,0,4,1.89
b05501079,"2017-05-22 11:47:34","2017-05-22 11:47:34",0.00,1,0,0,0,0,0,1,0.00
b03505034,"2017-05-22 11:52:06","2017-05-22 11:52:06",0.00,1,0,0,0,0,0,1,0.00
b01501091,"2017-05-22 11:52:36","2017-05-22 11:54:45",2.15,1,0,0,0,1,0,2,2.15
b03302131,"2017-05-22 12:08:16","2017-05-23 09:37:27","1,289.18",1,0,0,0,2,0,3,644.59
b05501104,"2017-05-22 12:10:35","2017-05-22 12:10:35",0.00,1,0,0,0,0,0,1,0.00
b04104028,"2017-05-22 12:11:49","2017-05-22 12:24:22",12.55,1,0,1,0,1,0,3,6.28
b05501064,"2017-05-22 12:26:42","2017-05-22 12:26:42",0.00,1,0,0,0,0,0,1,0.00
b05501101,"2017-05-22 13:11:31","2017-05-22 21:48:00",516.48,1,0,0,0,4,0,5,129.12
b04501128,"2017-05-22 13:14:39","2017-05-22 13:16:11",1.53,1,0,0,0,1,0,2,1.53
b05501004,"2017-05-22 16:58:25","2017-05-22 16:58:25",0.00,1,0,0,0,0,0,1,0.00
b05501028,"2017-05-22 17:30:55","2017-05-22 17:30:55",0.00,1,0,0,0,0,0,1,0.00
b05501076,"2017-05-22 18:54:13","2017-05-22 18:54:13",0.00,1,0,0,0,0,0,1,0.00
b05501049,"2017-05-23 02:16:47","2017-05-23 02:16:47",0.00,1,0,0,0,0,0,1,0.00
b02208010,"2017-05-23 10:02:45","2017-05-23 16:52:30",409.75,0,0,2,2,9,0,13,34.15
b05501010,"2017-05-23 10:51:25","2017-05-23 10:53:29",2.07,1,0,0,0,2,0,3,1.03
b05501119,"2017-05-23 11:13:40","2017-05-23 11:13:40",0.00,1,0,0,0,0,0,1,0.00
b05501107,"2017-05-23 14:37:13","2017-05-23 14:38:26",1.22,1,0,1,0,0,0,2,1.22
