"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b01204037,"2017-03-20 10:04:32","2017-03-20 10:06:03",1.52,1,0,1,0,0,0,2,1.52
b03501016,"2017-03-20 10:11:53","2017-03-20 10:13:16",1.38,1,2,0,0,0,0,3,0.69
b05501085,"2017-03-20 10:16:30","2017-03-20 10:18:22",1.87,1,1,0,0,1,0,3,0.93
b05501073,"2017-03-20 10:19:48","2017-03-20 10:49:59",30.18,1,1,1,1,0,0,4,10.06
b04602040,"2017-03-20 10:30:00","2017-03-20 10:30:00",0.00,1,0,0,0,0,0,1,0.00
b03501124,"2017-03-20 10:31:40","2017-03-20 10:32:09",0.48,1,0,1,0,0,0,2,0.48
b03204023,"2017-03-20 10:45:56","2017-03-20 11:37:21",51.42,1,1,1,5,0,0,8,7.35
b05501113,"2017-03-20 10:54:01","2017-03-20 11:05:36",11.58,1,0,1,0,0,0,2,11.58
b03204028,"2017-03-20 10:56:05","2017-03-20 10:57:39",1.57,1,2,0,0,0,0,3,0.78
b04501128,"2017-03-20 11:04:36","2017-03-20 11:07:33",2.95,1,2,0,0,1,0,4,0.98
b05501037,"2017-03-20 11:09:35","2017-03-20 11:19:26",9.85,1,3,1,0,0,0,5,2.46
b05501079,"2017-03-20 11:14:35","2017-03-20 11:36:06",21.52,1,2,1,0,0,0,4,7.17
b02501104,"2017-03-20 11:15:35","2017-03-20 11:15:35",0.00,1,0,0,0,0,0,1,0.00
b04501125,"2017-03-20 11:19:30","2017-03-20 11:21:10",1.67,1,0,1,0,0,0,2,1.67
b05501046,"2017-03-20 11:19:56","2017-03-20 11:19:56",0.00,1,0,0,0,0,0,1,0.00
b03605064,"2017-03-20 11:21:40","2017-03-20 11:28:05",6.42,1,2,1,0,0,0,4,2.14
b01501091,"2017-03-20 11:23:19","2017-03-20 11:23:19",0.00,1,0,0,0,0,0,1,0.00
b05501019,"2017-03-20 11:25:42","2017-03-20 11:25:42",0.00,1,0,0,0,0,0,1,0.00
b02208010,"2017-03-20 11:26:00","2017-03-20 13:39:12",133.20,1,4,5,0,1,0,11,13.32
b05501034,"2017-03-20 11:26:36","2017-03-20 11:28:28",1.87,1,0,1,0,0,0,2,1.87
b05501013,"2017-03-20 11:27:04","2017-03-20 11:28:33",1.48,1,0,1,0,0,0,2,1.48
b03204001,"2017-03-20 11:29:08","2017-03-20 11:29:51",0.72,1,1,0,0,0,0,2,0.72
b04501119,"2017-03-20 11:33:28","2017-03-20 11:48:19",14.85,1,9,1,0,1,0,12,1.35
b05501007,"2017-03-20 11:38:25","2017-03-20 11:41:22",2.95,1,2,0,0,0,0,3,1.48
b05501010,"2017-03-20 11:41:18","2017-03-20 11:42:56",1.63,1,1,0,0,0,0,2,1.63
b02501116,"2017-03-20 11:42:52","2017-03-20 12:14:35",31.72,1,2,3,0,0,0,6,6.34
b05501107,"2017-03-20 11:45:23","2017-03-20 11:52:40",7.28,2,7,1,0,0,0,10,0.81
b03505034,"2017-03-20 11:54:27","2017-03-20 11:55:58",1.52,1,1,0,0,0,0,2,1.52
b01204027,"2017-03-20 11:54:36","2017-03-20 12:10:11",15.58,1,2,0,0,0,0,3,7.79
b02501080,"2017-03-20 11:59:50","2017-03-20 12:09:11",9.35,1,1,2,1,0,0,5,2.34
b05501119,"2017-03-20 12:02:51","2017-03-20 12:17:13",14.37,1,3,1,0,1,0,6,2.87
b05501025,"2017-03-20 12:10:19","2017-03-20 12:29:33",19.23,1,1,0,3,0,0,5,4.81
b05501016,"2017-03-20 12:15:56","2017-03-20 12:17:59",2.05,1,1,0,0,0,0,2,2.05
b02501120,"2017-03-20 12:25:18","2017-03-20 13:07:18",42.00,1,2,5,0,0,0,8,6.00
b05501076,"2017-03-20 12:26:52","2017-03-21 12:48:12","1,461.33",2,0,3,0,0,0,5,365.33
b05501070,"2017-03-20 12:37:48","2017-03-20 12:49:31",11.72,1,2,1,0,0,0,4,3.91
b05501116,"2017-03-20 12:44:15","2017-03-20 12:45:43",1.47,1,1,0,0,0,0,2,1.47
b05501004,"2017-03-20 12:46:11","2017-03-20 13:05:14",19.05,1,1,1,0,0,0,3,9.53
b02501066,"2017-03-20 12:48:58","2017-03-20 12:52:37",3.65,1,2,0,0,0,0,3,1.83
b05501022,"2017-03-20 12:52:22","2017-03-20 13:06:39",14.28,1,1,0,2,2,0,6,2.86
b03501007,"2017-03-20 12:52:27","2017-03-20 12:54:30",2.05,1,0,1,0,0,0,2,2.05
b05501049,"2017-03-20 12:56:53","2017-03-20 13:20:46",23.88,1,1,1,0,1,0,4,7.96
b05501028,"2017-03-20 18:00:02","2017-03-20 18:00:02",0.00,1,0,0,0,0,0,1,0.00
b03302131,"2017-03-20 21:43:03","2017-03-20 21:56:45",13.70,1,3,1,0,0,0,5,3.43
b04104028,"2017-03-21 16:18:28","2017-03-21 16:26:54",8.43,1,1,0,0,1,0,3,4.22
b05501091,"2017-03-21 22:34:28","2017-03-21 22:39:17",4.82,1,2,0,0,0,0,3,2.41
b05501104,"2017-03-22 21:40:00","2017-03-22 22:32:44",52.73,1,3,1,6,2,0,13,4.39
b05501064,"2017-03-24 04:50:04","2017-03-24 12:18:07",448.05,1,2,0,0,0,0,3,224.03
