"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b01204037,"2017-03-20 09:31:41","2017-03-20 09:31:41",0.00,1,0,0,0,0,0,1,0.00
b05501085,"2017-03-20 09:35:28","2017-03-20 09:36:40",1.20,4,0,0,0,0,0,4,0.40
b05501113,"2017-03-20 09:36:12","2017-03-20 09:39:27",3.25,1,0,0,0,3,0,4,1.08
b03204028,"2017-03-20 09:38:59","2017-03-20 09:43:21",4.37,1,1,0,0,4,0,6,0.87
b05501019,"2017-03-20 09:39:58","2017-03-20 09:39:58",0.00,1,0,0,0,0,0,1,0.00
b02501104,"2017-03-20 09:40:17","2017-03-20 09:41:33",1.27,1,1,0,0,0,0,2,1.27
b05501013,"2017-03-20 09:42:40","2017-03-20 09:43:23",0.72,1,0,0,0,2,0,3,0.36
b03501007,"2017-03-20 09:45:08","2017-03-20 09:45:08",0.00,1,0,0,0,0,0,1,0.00
b04501125,"2017-03-20 09:45:27","2017-03-20 09:45:27",0.00,1,0,0,0,0,0,1,0.00
b03501016,"2017-03-20 09:45:32","2017-03-20 09:45:32",0.00,1,0,0,0,0,0,1,0.00
b02501116,"2017-03-20 09:49:22","2017-03-20 09:50:08",0.77,1,1,0,0,0,0,2,0.77
b05501007,"2017-03-20 09:52:43","2017-03-20 09:52:43",0.00,1,0,0,0,0,0,1,0.00
b05501116,"2017-03-20 09:55:13","2017-03-20 09:55:13",0.00,1,0,0,0,0,0,1,0.00
b05501046,"2017-03-20 09:55:27","2017-03-20 09:55:27",0.00,1,0,0,0,0,0,1,0.00
b05501016,"2017-03-20 09:57:39","2017-03-20 09:58:23",0.73,1,0,0,0,2,0,3,0.37
b05501079,"2017-03-20 09:58:47","2017-03-20 10:02:38",3.85,1,0,0,0,1,0,2,3.85
b05501037,"2017-03-20 09:59:19","2017-03-20 10:03:50",4.52,1,1,0,0,0,0,2,4.52
b05501010,"2017-03-20 09:59:40","2017-03-20 09:59:40",0.00,1,0,0,0,0,0,1,0.00
b03204023,"2017-03-20 10:01:50","2017-03-20 10:01:50",0.00,1,0,0,0,0,0,1,0.00
b05501022,"2017-03-20 10:06:20","2017-03-20 10:06:20",0.00,1,0,0,0,0,0,1,0.00
b05501104,"2017-03-20 10:06:38","2017-03-20 10:07:23",0.75,1,0,0,0,1,0,2,0.75
b05501049,"2017-03-20 10:07:47","2017-03-20 10:07:47",0.00,1,0,0,0,0,0,1,0.00
b03605064,"2017-03-20 10:10:12","2017-03-20 10:10:55",0.72,1,0,0,0,1,0,2,0.72
b05501064,"2017-03-20 10:15:44","2017-03-20 10:15:44",0.00,1,0,0,0,0,0,1,0.00
b03501124,"2017-03-20 10:19:19","2017-03-20 10:19:19",0.00,1,0,0,0,0,0,1,0.00
b05501107,"2017-03-20 10:19:59","2017-03-20 10:47:09",27.17,1,1,0,0,0,0,2,27.17
b05501119,"2017-03-20 10:25:21","2017-03-20 10:50:30",25.15,1,1,0,0,1,0,4,8.38
b04602040,"2017-03-20 10:28:30","2017-03-20 10:29:05",0.58,1,0,0,0,1,0,2,0.58
b05501034,"2017-03-20 10:33:48","2017-03-20 10:42:10",8.37,1,0,0,0,4,0,5,2.09
b03204001,"2017-03-20 10:47:32","2017-03-20 10:47:32",0.00,1,0,0,0,0,0,1,0.00
b05501070,"2017-03-20 10:48:45","2017-03-20 10:48:45",0.00,1,0,0,0,0,0,1,0.00
b04501128,"2017-03-20 10:56:11","2017-03-20 10:57:07",0.93,1,0,0,2,0,0,3,0.47
b05501110,"2017-03-20 11:01:18","2017-03-20 12:26:43",85.42,1,0,0,0,0,0,7,14.24
b01204027,"2017-03-20 11:07:42","2017-03-20 11:10:40",2.97,1,3,0,0,0,0,4,0.99
b05501052,"2017-03-20 11:14:45","2017-03-20 11:14:45",0.00,1,0,0,0,0,0,1,0.00
b05501055,"2017-03-20 11:15:57","2017-03-20 11:15:57",0.00,1,0,0,0,0,0,1,0.00
b05501004,"2017-03-20 11:17:06","2017-03-20 11:17:06",0.00,1,0,0,0,0,0,1,0.00
b05501101,"2017-03-20 11:18:12","2017-03-20 11:42:45",24.55,2,1,0,0,1,0,4,8.18
b05501076,"2017-03-20 11:19:24","2017-03-20 11:22:41",3.28,1,2,0,0,0,0,3,1.64
b01501091,"2017-03-20 11:21:53","2017-03-20 11:21:53",0.00,1,0,0,0,0,0,1,0.00
b04501119,"2017-03-20 11:29:07","2017-03-20 11:31:04",1.95,1,3,0,0,0,0,4,0.65
