"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b04602040,"2017-03-20 10:43:15","2017-03-20 10:52:43",9.47,1,2,0,0,0,0,3,4.73
b03501124,"2017-03-20 10:47:43","2017-03-20 10:52:55",5.20,1,2,0,0,0,0,3,2.60
b01204037,"2017-03-20 11:00:36","2017-03-20 11:58:35",57.98,1,0,1,5,0,0,7,9.66
b02501116,"2017-03-20 11:05:00","2017-03-20 11:27:17",22.28,1,5,0,0,0,0,6,4.46
b05501085,"2017-03-20 11:17:48","2017-03-20 11:32:09",14.35,1,3,0,0,1,0,5,3.59
b01501091,"2017-03-20 11:23:59","2017-03-20 11:40:21",16.37,1,4,0,1,0,0,6,3.27
b03204028,"2017-03-20 11:33:24","2017-03-20 11:52:10",18.77,1,4,0,0,0,0,5,4.69
b04501119,"2017-03-20 11:49:07","2017-03-20 12:19:29",30.37,1,5,0,2,3,0,11,3.04
b03505034,"2017-03-20 11:56:18","2017-03-23 06:41:16","4,004.97",3,0,2,5,3,0,13,333.75
b03204001,"2017-03-20 11:58:24","2017-03-20 11:59:35",1.18,1,0,1,0,0,0,2,1.18
b05501037,"2017-03-20 12:02:33","2017-03-20 12:29:02",26.48,1,3,0,0,0,0,4,8.83
b04501125,"2017-03-20 12:03:40","2017-03-20 12:05:08",1.47,1,1,0,0,0,0,2,1.47
b05501113,"2017-03-20 12:05:50","2017-03-20 12:15:08",9.30,1,6,0,2,0,0,9,1.16
b02501080,"2017-03-20 12:10:13","2017-03-20 12:38:23",28.17,1,3,0,2,0,0,6,5.63
b03605064,"2017-03-20 12:10:53","2017-03-20 12:14:41",3.80,1,2,0,0,0,0,3,1.90
b05501025,"2017-03-20 12:13:13","2017-03-20 12:25:18",12.08,1,0,3,0,0,0,4,4.03
b03501016,"2017-03-20 12:13:50","2017-03-20 12:36:45",22.92,1,2,0,0,0,0,3,11.46
b03501007,"2017-03-20 12:15:30","2017-03-20 12:15:30",0.00,1,0,0,0,0,0,1,0.00
b04501128,"2017-03-20 12:16:48","2017-03-20 12:17:47",0.98,1,0,1,0,0,0,2,0.98
b02501120,"2017-03-20 12:24:34","2017-03-20 13:03:47",39.22,1,10,0,3,0,0,14,3.02
b05501010,"2017-03-20 12:26:46","2017-03-20 12:47:19",20.55,1,3,0,2,0,0,6,4.11
b05501107,"2017-03-20 12:28:10","2017-03-20 12:39:12",11.03,1,1,0,2,0,0,4,3.68
b05501019,"2017-03-20 12:31:34","2017-03-20 12:35:16",3.70,1,1,2,0,0,0,4,1.23
b05501119,"2017-03-20 12:31:37","2017-03-20 15:07:35",155.97,1,2,0,0,0,0,3,77.98
b05501013,"2017-03-20 12:35:43","2017-03-20 12:51:16",15.55,3,1,2,0,0,0,6,3.11
b02501066,"2017-03-20 12:37:27","2017-03-20 12:57:07",19.67,1,6,0,0,0,0,7,3.28
b02208010,"2017-03-20 12:38:06","2017-03-20 13:03:04",24.97,1,0,3,0,0,0,4,8.32
b01204027,"2017-03-20 12:40:00","2017-03-20 12:50:30",10.50,3,5,0,1,0,0,9,1.31
b02501104,"2017-03-20 12:44:37","2017-03-20 13:03:28",18.85,1,4,0,0,0,0,5,4.71
b05501073,"2017-03-20 12:48:30","2017-03-20 13:03:50",15.33,1,3,0,0,0,0,4,5.11
b03204023,"2017-03-20 12:52:53","2017-03-20 12:52:53",0.00,1,0,0,0,0,0,1,0.00
b05501034,"2017-03-20 12:53:43","2017-03-20 13:02:41",8.97,1,3,0,0,0,0,4,2.99
b05501007,"2017-03-20 12:54:25","2017-03-20 16:43:04",228.65,3,1,1,0,0,0,5,57.16
b05501046,"2017-03-20 12:55:23","2017-03-20 13:08:25",13.03,1,3,1,0,0,0,5,3.26
b05501016,"2017-03-20 13:04:33","2017-03-20 13:10:49",6.27,1,3,0,0,2,0,6,1.25
b05501079,"2017-03-20 13:15:14","2017-03-20 15:44:16",149.03,1,5,0,0,1,0,10,16.56
b05501004,"2017-03-20 13:21:44","2017-03-23 17:18:50","4,557.10",1,0,1,0,0,0,2,"4,557.10"
b05501028,"2017-03-20 17:47:53","2017-03-20 17:53:32",5.65,0,4,0,0,0,0,4,1.88
b05501076,"2017-03-20 19:57:41","2017-03-20 22:20:28",142.78,1,12,0,1,1,0,15,10.20
b05501022,"2017-03-20 21:09:01","2017-03-24 00:09:03","4,500.03",1,5,0,8,0,0,14,346.16
b03302131,"2017-03-21 02:21:47","2017-03-21 02:33:43",11.93,1,1,0,2,0,0,4,3.98
b04104028,"2017-03-21 16:34:00","2017-03-21 16:34:00",0.00,1,0,0,0,0,0,1,0.00
b05501091,"2017-03-21 22:09:25","2017-03-21 22:09:25",0.00,1,0,0,0,0,0,1,0.00
b05501049,"2017-03-22 21:12:43","2017-03-22 21:37:13",24.50,1,6,0,0,2,0,9,3.06
b05501104,"2017-03-23 07:48:30","2017-03-23 08:37:03",48.55,1,7,0,1,1,0,10,5.39
b05501116,"2017-03-23 23:12:12","2017-03-24 09:57:22",645.17,1,11,0,1,0,0,13,53.76
b05501064,"2017-03-24 14:32:13","2017-03-24 14:32:13",0.00,1,0,0,0,0,0,1,0.00
