"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b05501010,"2017-03-13 10:27:24","2017-03-13 20:20:24",593.00,1,2,0,0,1,0,4,197.67
b03501124,"2017-03-13 10:31:13","2017-03-13 10:34:38",3.42,1,2,0,0,0,0,3,1.71
b04501119,"2017-03-13 10:41:15","2017-03-13 11:12:16",31.02,1,7,0,0,0,0,8,4.43
b02208010,"2017-03-13 10:59:13","2017-03-13 11:05:39",6.43,1,2,0,0,0,0,3,3.22
b02501116,"2017-03-13 11:02:19","2017-03-13 12:55:21",113.03,1,5,12,0,8,0,26,4.52
b04602040,"2017-03-13 11:11:16","2017-03-13 11:34:09",22.88,1,0,0,0,2,0,3,11.44
b05501085,"2017-03-13 11:12:47","2017-03-13 11:20:12",7.42,1,1,1,1,1,0,5,1.85
b02501120,"2017-03-13 11:28:18","2017-03-13 12:18:01",49.72,1,4,3,0,1,0,9,6.21
b01204037,"2017-03-13 11:35:50","2017-03-13 11:37:56",2.10,1,0,1,0,1,0,3,1.05
b03501016,"2017-03-13 11:39:07","2017-03-13 11:40:05",0.97,1,0,0,0,2,0,3,0.48
b04104028,"2017-03-13 11:41:49","2017-03-13 12:16:11",34.37,1,0,1,1,5,0,8,4.91
b01501091,"2017-03-13 11:46:28","2017-03-13 11:47:44",1.27,1,0,0,0,1,0,2,1.27
b03605064,"2017-03-13 11:54:24","2017-03-13 11:59:11",4.78,1,0,2,0,0,0,3,2.39
b05501101,"2017-03-13 12:00:17","2017-03-13 12:07:28",7.18,1,2,1,0,0,0,4,2.39
b05501025,"2017-03-13 12:00:26","2017-03-13 12:39:06",38.67,1,0,0,0,3,0,4,12.89
b01204027,"2017-03-13 12:00:27","2017-03-13 12:02:31",2.07,1,2,0,0,0,0,3,1.03
b03505034,"2017-03-13 12:00:34","2017-03-13 12:02:53",2.32,1,2,0,0,0,0,3,1.16
b05501016,"2017-03-13 12:01:14","2017-03-13 15:13:42",192.47,2,0,0,0,1,0,3,96.23
b03204001,"2017-03-13 12:02:07","2017-03-13 12:02:21",0.23,1,0,0,0,1,0,2,0.23
b05501028,"2017-03-13 12:04:33","2017-03-13 13:37:14",92.68,6,1,3,0,1,0,11,9.27
b05501079,"2017-03-13 12:04:42","2017-03-13 12:15:32",10.83,1,0,0,0,3,0,4,3.61
b05501034,"2017-03-13 12:06:10","2017-03-13 12:06:10",0.00,1,0,0,0,0,0,1,0.00
b05501113,"2017-03-13 12:08:04","2017-03-13 12:53:30",45.43,1,7,3,0,10,0,21,2.27
b05501046,"2017-03-13 12:10:15","2017-03-13 12:17:44",7.48,1,1,1,0,1,0,4,2.49
b03501007,"2017-03-13 12:14:36","2017-03-13 12:29:25",14.82,1,3,1,0,2,0,7,2.47
b04501128,"2017-03-13 12:18:50","2017-03-13 12:43:04",24.23,1,0,5,0,3,0,9,3.03
b05501116,"2017-03-13 12:22:00","2017-03-13 12:26:36",4.60,2,0,2,0,0,0,4,1.53
b05501013,"2017-03-13 12:28:22","2017-03-13 12:47:14",18.87,1,8,0,0,1,0,10,2.10
b02501066,"2017-03-13 12:28:51","2017-03-13 12:42:33",13.70,1,1,5,0,1,0,8,1.96
b03204028,"2017-03-13 12:30:46","2017-03-13 12:47:25",16.65,1,2,4,0,3,0,10,1.85
b05501119,"2017-03-13 12:31:20","2017-03-13 12:31:20",0.00,1,0,0,0,0,0,1,0.00
b05501019,"2017-03-13 12:41:21","2017-03-13 12:45:49",4.47,1,0,1,0,0,0,2,4.47
b05501037,"2017-03-13 12:41:53","2017-03-13 12:41:53",0.00,1,0,0,0,0,0,1,0.00
b05501073,"2017-03-13 12:43:53","2017-03-13 12:43:53",0.00,1,0,0,0,0,0,1,0.00
b05501007,"2017-03-13 12:44:06","2017-03-13 12:44:06",0.00,1,0,0,0,0,0,1,0.00
b04501125,"2017-03-13 12:44:12","2017-03-13 16:57:14",253.03,2,1,1,1,1,0,6,50.61
b05501004,"2017-03-13 12:50:00","2017-03-13 12:58:04",8.07,1,0,2,0,1,0,4,2.69
b03204023,"2017-03-13 12:50:53","2017-03-13 13:04:47",13.90,1,2,2,0,3,0,8,1.99
b05501070,"2017-03-13 12:56:36","2017-03-13 13:16:07",19.52,0,2,0,0,1,0,3,9.76
b05501107,"2017-03-13 13:01:27","2017-03-13 15:12:17",130.83,1,2,1,7,2,0,13,10.90
b05501049,"2017-03-13 13:03:55","2017-03-13 13:07:02",3.12,1,0,1,0,1,0,3,1.56
b05501052,"2017-03-13 13:13:56","2017-03-13 13:18:34",4.63,1,2,1,0,2,0,6,0.93
b02501104,"2017-03-13 13:26:37","2017-03-13 13:35:09",8.53,1,0,3,0,0,0,4,2.84
b05501076,"2017-03-13 13:51:59","2017-03-13 14:26:17",34.30,1,3,2,0,5,0,11,3.43
b05501104,"2017-03-13 18:07:21","2017-03-13 18:12:07",4.77,1,2,0,0,0,0,3,2.38
b02501080,"2017-03-13 18:35:13","2017-03-13 18:48:04",12.85,1,0,3,0,2,0,6,2.57
b03302131,"2017-03-13 19:50:20","2017-03-13 19:51:16",0.93,1,0,0,0,1,0,2,0.93
b05501091,"2017-03-13 21:36:30","2017-03-13 21:40:25",3.92,1,0,1,0,1,0,3,1.96
b05501064,"2017-03-14 04:26:13","2017-03-14 04:30:04",3.85,1,0,0,0,2,0,3,1.93
b05501022,"2017-03-14 06:20:04","2017-03-14 06:57:17",37.22,1,4,4,3,1,0,13,3.10
