"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b05501113,"2017-03-13 10:09:16","2017-03-13 11:19:10",69.90,1,9,3,0,2,0,15,4.99
b03501124,"2017-03-13 10:10:16","2017-03-13 10:17:41",7.42,1,2,0,0,0,0,3,3.71
b05501085,"2017-03-13 10:25:24","2017-03-13 11:14:44",49.33,1,10,0,0,0,0,11,4.93
b05501104,"2017-03-13 10:27:31","2017-03-13 11:14:44",47.22,1,6,3,0,1,0,11,4.72
b04602040,"2017-03-13 10:46:05","2017-03-13 11:03:18",17.22,1,0,1,0,1,0,3,8.61
b04104028,"2017-03-13 10:47:32","2017-03-13 16:13:21",325.82,1,7,0,0,0,0,8,46.55
b05501110,"2017-03-13 10:48:15","2017-03-13 13:04:52",136.62,1,8,1,0,3,0,13,11.38
b04501125,"2017-03-13 10:49:28","2017-03-13 12:18:02",88.57,2,14,1,1,3,0,21,4.43
b04501128,"2017-03-13 10:50:05","2017-03-13 11:35:34",45.48,1,13,0,0,1,0,15,3.25
b01204037,"2017-03-13 10:50:33","2017-03-13 11:05:29",14.93,1,8,0,0,2,0,11,1.49
b05501101,"2017-03-13 10:54:46","2017-03-13 11:30:27",35.68,1,7,0,0,1,0,9,4.46
b03204001,"2017-03-13 10:55:18","2017-03-13 11:38:38",43.33,1,16,1,0,1,0,19,2.41
b03605064,"2017-03-13 11:00:43","2017-03-13 12:10:34",69.85,1,4,7,1,1,0,14,5.37
b05501007,"2017-03-13 11:01:02","2017-03-13 12:23:56",82.90,1,6,4,0,0,0,11,8.29
b05501016,"2017-03-13 11:06:43","2017-03-13 11:37:44",31.02,1,2,0,0,2,0,5,7.75
b05501079,"2017-03-13 11:12:58","2017-03-13 11:47:20",34.37,1,2,0,2,0,0,5,8.59
b04501119,"2017-03-13 11:15:32","2017-03-13 12:42:43",87.18,1,7,1,0,1,0,10,9.69
b01204027,"2017-03-13 11:20:22","2017-03-13 11:21:44",1.37,1,0,1,0,0,0,2,1.37
b03204028,"2017-03-13 11:23:19","2017-03-13 11:57:10",33.85,1,7,0,0,1,0,9,4.23
b02501120,"2017-03-13 11:24:36","2017-03-13 12:27:51",63.25,1,5,1,0,0,0,7,10.54
b03501016,"2017-03-13 11:29:10","2017-03-13 12:14:03",44.88,1,6,8,0,4,0,19,2.49
b05501073,"2017-03-13 11:30:37","2017-03-13 12:15:43",45.10,2,2,1,0,0,0,5,11.28
b05501037,"2017-03-13 11:38:34","2017-03-13 12:26:04",47.50,1,5,0,0,0,0,6,9.50
b05501119,"2017-03-13 11:39:59","2017-03-13 12:08:39",28.67,1,6,0,0,4,0,11,2.87
b02208010,"2017-03-13 11:40:29","2017-03-13 12:09:18",28.82,1,1,0,0,2,0,4,9.61
b05501046,"2017-03-13 11:41:16","2017-03-13 11:41:16",0.00,1,0,0,0,0,0,1,0.00
b05501116,"2017-03-13 11:42:08","2017-03-13 11:44:26",2.30,1,2,0,0,0,0,3,1.15
b05501034,"2017-03-13 11:43:25","2017-03-13 11:45:03",1.63,1,0,1,0,0,0,2,1.63
b03501007,"2017-03-13 11:43:37","2017-03-13 12:05:48",22.18,1,2,0,0,0,0,3,11.09
b01501091,"2017-03-13 11:44:36","2017-03-13 11:44:36",0.00,1,0,0,0,0,0,1,0.00
b05501025,"2017-03-13 11:45:28","2017-03-13 13:11:07",85.65,0,6,1,1,2,0,10,9.52
b05501019,"2017-03-13 11:47:35","2017-03-13 12:02:24",14.82,1,2,0,0,0,0,3,7.41
b03505034,"2017-03-13 11:49:01","2017-03-13 11:56:42",7.68,1,2,3,0,0,0,6,1.54
b05501004,"2017-03-13 11:55:11","2017-03-13 12:05:51",10.67,1,2,2,0,0,0,5,2.67
