"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b03501124,"2017-03-13 10:35:56","2017-03-13 10:35:56",0.00,1,0,0,0,0,0,1,0.00
b02208010,"2017-03-13 11:04:03","2017-03-13 11:04:38",0.58,1,1,0,0,0,0,2,0.58
b05501085,"2017-03-13 11:23:55","2017-03-13 11:29:38",5.72,3,0,1,0,0,0,4,1.91
b02501120,"2017-03-13 11:26:32","2017-03-13 12:01:41",35.15,1,4,0,0,0,0,5,8.79
b04602040,"2017-03-13 11:34:32","2017-03-13 11:34:32",0.00,1,0,0,0,0,0,1,0.00
b03605064,"2017-03-13 11:39:22","2017-03-13 11:39:22",0.00,1,0,0,0,0,0,1,0.00
b03501016,"2017-03-13 11:40:43","2017-03-13 11:40:43",0.00,1,0,0,0,0,0,1,0.00
b01204037,"2017-03-13 11:42:08","2017-03-13 11:42:08",0.00,1,0,0,0,0,0,1,0.00
b02501116,"2017-03-13 11:43:12","2017-03-13 12:44:08",60.93,1,11,0,0,2,0,14,4.69
b01501091,"2017-03-13 11:52:05","2017-03-13 11:52:05",0.00,1,0,0,0,0,0,1,0.00
b04501119,"2017-03-13 11:53:58","2017-03-13 11:54:25",0.45,1,1,0,0,0,0,2,0.45
b03505034,"2017-03-13 12:03:28","2017-03-13 12:04:20",0.87,1,1,0,0,0,0,2,0.87
b05501016,"2017-03-13 12:03:42","2017-03-13 15:16:34",192.87,2,0,0,0,0,0,2,192.87
b04104028,"2017-03-13 12:07:25","2017-03-13 12:12:58",5.55,1,1,0,0,4,0,6,1.11
b01204027,"2017-03-13 12:08:12","2017-03-13 12:08:12",0.00,1,0,0,0,0,0,1,0.00
b03204001,"2017-03-13 12:10:12","2017-03-13 12:10:12",0.00,1,0,0,0,0,0,1,0.00
b05501101,"2017-03-13 12:11:03","2017-03-13 12:11:03",0.00,1,0,0,0,0,0,1,0.00
b05501079,"2017-03-13 12:11:38","2017-03-13 12:14:41",3.05,1,1,0,0,1,0,3,1.53
b05501019,"2017-03-13 12:11:44","2017-03-13 12:26:54",15.17,2,0,2,0,0,0,4,5.06
b05501034,"2017-03-13 12:14:53","2017-03-13 12:14:53",0.00,1,0,0,0,0,0,1,0.00
b05501007,"2017-03-13 12:17:30","2017-03-13 12:17:30",0.00,1,0,0,0,0,0,1,0.00
b05501046,"2017-03-13 12:19:59","2017-03-13 12:19:59",0.00,1,0,0,0,0,0,1,0.00
b05501028,"2017-03-13 12:25:17","2017-03-13 12:25:47",0.50,1,0,0,0,1,0,2,0.50
b05501116,"2017-03-13 12:33:43","2017-03-13 12:38:58",5.25,1,2,1,0,0,0,4,1.75
b05501113,"2017-03-13 12:34:19","2017-03-13 12:41:33",7.23,1,2,0,0,0,0,3,3.62
b03501007,"2017-03-13 12:34:36","2017-03-13 12:41:05",6.48,1,0,1,0,1,0,3,3.24
b05501119,"2017-03-13 12:34:51","2017-03-13 12:34:51",0.00,1,0,0,0,0,0,1,0.00
b05501025,"2017-03-13 12:36:42","2017-03-13 12:38:08",1.43,1,0,0,0,2,0,3,0.72
b04501128,"2017-03-13 12:38:47","2017-03-13 12:46:12",7.42,1,1,0,0,1,0,3,3.71
b05501037,"2017-03-13 12:43:23","2017-03-13 12:45:39",2.27,1,0,1,0,0,0,2,2.27
b02501066,"2017-03-13 12:44:58","2017-03-13 12:44:58",0.00,1,0,0,0,0,0,1,0.00
b05501073,"2017-03-13 12:48:19","2017-03-13 12:48:19",0.00,1,0,0,0,0,0,1,0.00
b05501013,"2017-03-13 12:49:15","2017-03-13 12:49:15",0.00,1,0,0,0,0,0,1,0.00
b03204028,"2017-03-13 12:50:46","2017-03-13 12:50:46",0.00,1,0,0,0,0,0,1,0.00
b05501004,"2017-03-13 12:59:11","2017-03-13 12:59:11",0.00,1,0,0,0,0,0,1,0.00
b05501049,"2017-03-13 13:08:31","2017-03-13 13:08:31",0.00,1,0,0,0,0,0,1,0.00
b03204023,"2017-03-13 13:09:03","2017-03-13 13:14:29",5.43,1,1,0,0,0,0,2,5.43
b05501052,"2017-03-13 13:22:19","2017-03-13 13:22:19",0.00,1,0,0,0,0,0,1,0.00
b02501104,"2017-03-13 13:41:36","2017-03-13 13:41:36",0.00,1,0,0,0,0,0,1,0.00
b05501076,"2017-03-13 14:33:21","2017-03-13 14:33:21",0.00,1,0,0,0,0,0,1,0.00
b05501107,"2017-03-13 15:15:43","2017-03-13 15:16:13",0.50,1,1,0,0,0,0,2,0.50
b04501125,"2017-03-13 16:45:18","2017-03-13 17:13:41",28.38,1,1,6,0,0,0,8,4.05
b05501104,"2017-03-13 18:33:41","2017-03-13 18:33:41",0.00,1,0,0,0,0,0,1,0.00
b02501080,"2017-03-13 19:09:29","2017-03-13 19:11:01",1.53,1,0,1,0,0,0,2,1.53
b03302131,"2017-03-13 20:17:48","2017-03-13 20:22:43",4.92,1,2,0,0,0,0,3,2.46
b05501010,"2017-03-13 20:29:18","2017-03-13 20:29:18",0.00,1,0,0,0,0,0,1,0.00
b05501091,"2017-03-13 21:55:22","2017-03-14 09:35:06",699.73,1,4,0,0,0,0,5,174.93
b05501064,"2017-03-14 04:37:26","2017-03-14 04:37:26",0.00,1,0,0,0,0,0,1,0.00
b05501022,"2017-03-14 07:11:22","2017-03-14 07:11:22",0.00,1,0,0,0,0,0,1,0.00
b05501058,"2017-03-14 14:43:19","2017-03-14 14:44:44",1.42,1,0,0,0,1,0,2,1.42
