"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b03501124,"2017-03-27 10:30:33","2017-03-27 10:31:09",0.60,1,0,0,0,1,0,2,0.60
b04501119,"2017-03-27 10:42:22","2017-03-27 11:01:39",19.28,1,0,0,0,3,0,4,6.43
b02501116,"2017-03-27 10:43:51","2017-03-27 11:17:47",33.93,1,0,0,0,3,0,4,11.31
b04602040,"2017-03-27 10:52:29","2017-03-27 10:52:55",0.43,1,0,0,0,1,0,2,0.43
b03204001,"2017-03-27 11:00:32","2017-03-27 11:00:32",0.00,1,0,0,0,0,0,1,0.00
b03501016,"2017-03-27 11:03:38","2017-03-27 12:01:25",57.78,1,0,0,0,1,0,2,57.78
b03505034,"2017-03-27 11:09:25","2017-03-27 11:09:25",0.00,1,0,0,0,0,0,1,0.00
b01204037,"2017-03-27 11:11:46","2017-03-27 11:11:46",0.00,1,0,0,0,0,0,1,0.00
b03605064,"2017-03-27 11:15:12","2017-03-27 11:15:12",0.00,1,0,0,0,0,0,1,0.00
b02501104,"2017-03-27 11:19:16","2017-03-27 11:19:16",0.00,1,0,0,0,0,0,1,0.00
b05501119,"2017-03-27 11:21:22","2017-03-27 11:56:49",35.45,1,0,0,0,3,0,4,11.82
b01501091,"2017-03-27 11:21:44","2017-03-27 11:21:44",0.00,1,0,0,0,0,0,1,0.00
b02501080,"2017-03-27 11:22:25","2017-03-27 11:23:30",1.08,1,0,0,0,1,0,2,1.08
b05501085,"2017-03-27 11:26:35","2017-03-27 11:30:27",3.87,1,0,0,0,2,0,3,1.93
b05501046,"2017-03-27 11:27:42","2017-03-27 11:28:46",1.07,1,0,0,0,2,0,3,0.53
b05501013,"2017-03-27 11:28:01","2017-03-27 11:28:01",0.00,1,0,0,0,0,0,1,0.00
b05501049,"2017-03-27 11:28:08","2017-03-27 11:32:42",4.57,2,0,0,0,0,0,2,4.57
b02501120,"2017-03-27 11:30:25","2017-03-27 11:30:25",0.00,1,0,0,0,0,0,1,0.00
b02501066,"2017-03-27 11:33:49","2017-03-27 11:34:20",0.52,1,0,0,0,1,0,2,0.52
b05501113,"2017-03-27 11:42:40","2017-03-27 11:47:27",4.78,1,0,0,0,2,0,3,2.39
b05501025,"2017-03-27 11:42:47","2017-03-27 12:02:12",19.42,1,0,0,0,3,0,4,6.47
b04501125,"2017-03-27 11:48:24","2017-03-27 11:48:24",0.00,1,0,0,0,0,0,1,0.00
b05501028,"2017-03-27 11:48:58","2017-03-27 11:50:42",1.73,1,0,0,0,2,0,3,0.87
b03501007,"2017-03-27 11:51:41","2017-03-27 11:56:39",4.97,1,0,0,0,5,0,6,0.99
b05501016,"2017-03-27 11:52:14","2017-03-27 11:53:35",1.35,1,0,0,0,1,0,2,1.35
b05501010,"2017-03-27 11:54:13","2017-03-27 11:57:25",3.20,1,0,0,0,4,0,5,0.80
b05501101,"2017-03-27 11:54:37","2017-03-27 12:16:43",22.10,1,0,0,0,6,0,7,3.68
b05501034,"2017-03-27 11:55:00","2017-03-27 11:55:00",0.00,1,0,0,0,0,0,1,0.00
b03204023,"2017-03-27 11:55:30","2017-03-27 12:40:18",44.80,2,0,0,2,5,0,9,5.60
b05501073,"2017-03-27 11:55:39","2017-03-27 11:57:20",1.68,1,0,0,0,2,0,3,0.84
b03302131,"2017-03-27 11:59:25","2017-03-27 12:32:59",33.57,2,0,0,0,4,0,6,6.71
b05501019,"2017-03-27 12:02:01","2017-03-27 12:02:01",0.00,1,0,0,0,0,0,1,0.00
b01204027,"2017-03-27 12:07:35","2017-03-27 12:10:02",2.45,1,0,0,0,3,0,4,0.82
b05501104,"2017-03-27 12:08:33","2017-03-27 12:49:14",40.68,1,0,0,0,5,0,6,8.14
b05501037,"2017-03-27 12:09:32","2017-03-27 12:10:35",1.05,1,0,0,0,2,0,3,0.53
b05501007,"2017-03-27 12:12:05","2017-03-27 12:12:05",0.00,1,0,0,0,0,0,1,0.00
b05501076,"2017-03-27 12:13:11","2017-03-27 12:15:38",2.45,1,0,0,0,2,0,3,1.23
b04104028,"2017-03-27 12:16:00","2017-03-27 12:16:39",0.65,1,0,0,0,1,0,2,0.65
b04501128,"2017-03-27 12:21:10","2017-03-27 12:24:20",3.17,1,0,0,0,2,0,3,1.58
b05501116,"2017-03-27 12:31:25","2017-03-27 12:33:02",1.62,1,0,0,0,2,0,3,0.81
b05501064,"2017-03-27 12:37:18","2017-03-27 12:37:18",0.00,1,0,0,0,0,0,1,0.00
b02208010,"2017-03-27 12:44:22","2017-03-27 12:44:45",0.38,1,0,0,0,1,0,2,0.38
b05501110,"2017-03-27 12:55:21","2017-03-27 12:55:21",0.00,1,0,0,0,0,0,1,0.00
b05501022,"2017-03-28 08:16:42","2017-03-28 08:17:46",1.07,1,0,0,0,2,0,3,0.53
b05501079,"2017-03-28 16:41:16","2017-03-28 16:42:31",1.25,2,0,0,0,1,0,3,0.63
b05501091,"2017-03-28 16:53:51","2017-03-28 17:39:47",45.93,1,0,0,0,10,0,11,4.59
