"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b03501007,"2017-05-01 09:49:48","2017-05-01 09:54:05",4.28,1,1,0,0,0,0,2,4.28
b04602040,"2017-05-01 09:50:16","2017-05-01 09:54:26",4.17,1,1,0,0,1,0,3,2.08
b01204037,"2017-05-01 09:50:20","2017-05-01 09:54:37",4.28,1,1,0,0,0,0,2,4.28
b01204027,"2017-05-01 10:08:14","2017-05-01 10:30:17",22.05,1,2,4,1,0,0,8,3.15
b01501091,"2017-05-01 10:14:57","2017-05-01 10:14:57",0.00,1,0,0,0,0,0,1,0.00
b04501128,"2017-05-01 10:16:42","2017-05-01 10:16:42",0.00,1,0,0,0,0,0,1,0.00
b02501104,"2017-05-01 10:17:50","2017-05-01 10:17:50",0.00,1,0,0,0,0,0,1,0.00
b05501046,"2017-05-01 10:21:35","2017-05-01 10:23:04",1.48,1,0,0,0,1,0,2,1.48
b03204001,"2017-05-01 10:22:28","2017-05-01 10:44:50",22.37,2,3,0,0,0,0,5,5.59
b05501034,"2017-05-01 10:22:43","2017-05-01 10:22:43",0.00,1,0,0,0,0,0,1,0.00
b05501037,"2017-05-01 10:22:57","2017-05-01 10:25:06",2.15,1,0,1,0,0,0,2,2.15
b05501025,"2017-05-01 10:23:05","2017-05-01 10:53:16",30.18,1,4,1,0,3,0,9,3.77
b02501120,"2017-05-01 10:26:47","2017-05-01 10:49:03",22.27,1,5,6,0,0,0,12,2.02
b03605064,"2017-05-01 10:27:34","2017-05-01 10:33:44",6.17,1,1,0,0,0,0,2,6.17
b03501016,"2017-05-01 10:28:39","2017-05-01 10:31:38",2.98,1,1,0,0,1,0,3,1.49
b05501113,"2017-05-01 10:30:18","2017-05-01 10:31:12",0.90,1,1,0,0,0,0,2,0.90
b03204023,"2017-05-01 10:32:20","2017-05-01 10:46:41",14.35,1,6,1,0,0,0,8,2.05
b05501010,"2017-05-01 10:35:02","2017-05-01 10:36:38",1.60,1,2,0,0,0,0,3,0.80
b05501019,"2017-05-01 10:36:29","2017-05-01 10:41:27",4.97,1,2,0,0,0,0,3,2.48
b05501013,"2017-05-01 10:41:32","2017-05-01 10:41:32",0.00,1,0,0,0,0,0,1,0.00
b05501022,"2017-05-01 10:42:33","2017-05-01 10:46:32",3.98,1,0,0,1,1,0,3,1.99
b03204028,"2017-05-01 10:44:52","2017-05-01 10:48:02",3.17,1,0,2,0,1,0,4,1.06
b05501016,"2017-05-01 10:45:57","2017-05-01 10:46:55",0.97,1,1,0,0,0,0,2,0.97
b05501101,"2017-05-01 10:50:17","2017-05-01 11:13:57",23.67,1,3,2,0,1,0,7,3.94
b03505034,"2017-05-01 10:51:07","2017-05-01 10:58:15",7.13,1,1,3,0,0,0,5,1.78
b05501007,"2017-05-01 10:51:18","2017-05-01 10:53:57",2.65,1,1,0,0,1,0,3,1.33
b05501116,"2017-05-01 10:52:42","2017-05-01 10:55:31",2.82,1,1,1,0,0,0,3,1.41
b05501085,"2017-05-01 10:54:25","2017-05-01 11:00:16",5.85,1,1,0,0,3,0,5,1.46
b05501028,"2017-05-01 10:55:13","2017-05-01 11:04:13",9.00,1,3,2,0,0,0,6,1.80
b04501125,"2017-05-01 10:59:25","2017-05-01 11:18:30",19.08,1,8,2,0,0,0,11,1.91
b05501064,"2017-05-01 11:01:58","2017-05-01 11:11:38",9.67,1,0,1,0,3,0,5,2.42
b05501104,"2017-05-01 11:05:22","2017-05-01 11:12:36",7.23,1,1,1,0,0,0,3,3.62
b02208010,"2017-05-01 11:08:07","2017-05-01 11:11:48",3.68,1,0,1,0,1,0,3,1.84
b03302131,"2017-05-01 11:08:58","2017-05-01 11:16:31",7.55,1,4,1,0,0,0,6,1.51
b04104028,"2017-05-01 11:10:04","2017-05-01 11:15:06",5.03,1,1,1,0,0,0,3,2.52
b05501049,"2017-05-01 11:10:52","2017-05-01 11:12:18",1.43,1,1,0,0,0,0,2,1.43
b05501073,"2017-05-01 11:12:12","2017-05-01 11:13:45",1.55,1,0,1,0,0,0,2,1.55
b03501124,"2017-05-01 11:13:13","2017-05-01 11:17:02",3.82,1,1,2,0,2,0,6,0.76
b02501080,"2017-05-01 11:14:49","2017-05-01 11:17:19",2.50,1,2,0,0,0,0,3,1.25
b05501070,"2017-05-01 11:15:34","2017-05-01 11:22:36",7.03,1,1,1,0,1,0,4,2.34
b05501079,"2017-05-01 11:18:32","2017-05-01 11:20:43",2.18,1,0,1,0,0,0,2,2.18
b05501052,"2017-05-01 11:22:25","2017-05-01 11:24:26",2.02,1,0,2,0,0,0,3,1.01
b05501119,"2017-05-01 11:28:21","2017-05-01 11:28:21",0.00,1,0,0,0,0,0,1,0.00
b05501004,"2017-05-01 11:38:40","2017-05-01 11:54:25",15.75,1,1,3,0,2,0,7,2.63
b05501076,"2017-05-01 11:44:17","2017-05-01 11:48:13",3.93,1,0,1,0,1,0,3,1.97
b05501055,"2017-05-01 12:14:20","2017-05-01 12:16:01",1.68,1,0,1,0,0,0,2,1.68
b05501107,"2017-05-01 12:42:53","2017-05-01 12:42:53",0.00,1,0,0,0,0,0,1,0.00
b05501091,"2017-05-01 13:18:51","2017-05-01 13:18:51",0.00,1,0,0,0,0,0,1,0.00
b02501116,"2017-05-02 14:26:35","2017-05-02 14:28:23",1.80,1,0,0,0,2,0,3,0.90
b04501119,"2017-05-03 02:10:52","2017-05-03 02:17:40",6.80,1,6,2,0,0,0,9,0.85
b02501066,"2017-05-03 11:03:41","2017-05-03 11:03:41",0.00,1,0,0,0,0,0,1,0.00
