"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b05501010,"2017-05-01 09:27:13","2017-05-01 09:30:26",3.22,1,1,0,0,1,0,3,1.61
b04602040,"2017-05-01 09:33:46","2017-05-01 09:33:46",0.00,1,0,0,0,0,0,1,0.00
b01204037,"2017-05-01 09:34:03","2017-05-01 09:34:03",0.00,1,0,0,0,0,0,1,0.00
b05501113,"2017-05-01 09:34:10","2017-05-01 09:53:24",19.23,1,3,0,0,1,0,5,4.81
b05501037,"2017-05-01 09:36:26","2017-05-01 09:52:37",16.18,1,2,0,2,1,0,6,3.24
b03501007,"2017-05-01 09:36:46","2017-05-01 09:40:22",3.60,1,1,0,0,0,0,2,3.60
b01204027,"2017-05-01 09:41:54","2017-05-01 09:44:52",2.97,1,2,0,0,0,0,3,1.48
b05501116,"2017-05-01 09:47:34","2017-05-01 09:59:58",12.40,1,6,0,0,1,0,8,1.77
b04501128,"2017-05-01 09:47:42","2017-05-01 09:53:40",5.97,1,1,0,0,1,0,3,2.98
b02501120,"2017-05-01 09:51:23","2017-05-01 09:55:37",4.23,1,1,0,0,0,0,2,4.23
b05501019,"2017-05-01 09:51:36","2017-05-01 09:55:20",3.73,1,2,0,0,0,0,3,1.87
b02501104,"2017-05-01 09:53:19","2017-05-01 11:02:42",69.38,2,1,0,0,0,0,3,34.69
b05501104,"2017-05-01 09:54:42","2017-05-01 09:57:16",2.57,1,1,0,0,0,0,2,2.57
b03605064,"2017-05-01 09:54:44","2017-05-01 09:55:51",1.12,1,1,0,0,0,0,2,1.12
b05501046,"2017-05-01 09:54:53","2017-05-01 10:02:27",7.57,1,1,0,0,4,0,6,1.51
b03505034,"2017-05-01 09:55:24","2017-05-01 09:56:27",1.05,1,1,0,0,0,0,2,1.05
b05501034,"2017-05-01 09:55:46","2017-05-01 10:05:50",10.07,1,1,0,0,2,0,4,3.36
b03204001,"2017-05-01 10:00:31","2017-05-01 10:01:58",1.45,1,1,0,0,0,0,2,1.45
b03501016,"2017-05-01 10:01:31","2017-05-01 10:03:52",2.35,1,2,0,0,0,0,3,1.18
b05501064,"2017-05-01 10:02:18","2017-05-01 10:07:23",5.08,1,1,0,0,1,0,3,2.54
b05501101,"2017-05-01 10:04:40","2017-05-01 10:15:19",10.65,1,3,0,0,1,0,5,2.66
b05501022,"2017-05-01 10:05:13","2017-05-01 10:47:36",42.38,1,0,0,0,1,0,2,42.38
b03204023,"2017-05-01 10:05:15","2017-05-01 10:37:33",32.30,2,2,0,0,0,0,4,10.77
b05501013,"2017-05-01 10:08:56","2017-05-01 10:09:43",0.78,1,0,0,0,1,0,2,0.78
b05501016,"2017-05-01 10:10:38","2017-05-01 10:10:38",0.00,1,0,0,0,0,0,1,0.00
b03302131,"2017-05-01 10:10:56","2017-05-01 10:30:37",19.68,1,5,0,1,2,0,9,2.46
b04501125,"2017-05-01 10:12:32","2017-05-01 10:15:28",2.93,1,2,0,0,1,0,4,0.98
b01501091,"2017-05-01 10:14:13","2017-05-01 10:14:13",0.00,1,0,0,0,0,0,1,0.00
b03204028,"2017-05-01 10:14:56","2017-05-01 10:16:39",1.72,1,1,0,0,0,0,2,1.72
b02208010,"2017-05-01 10:16:10","2017-05-01 11:10:41",54.52,1,11,0,2,2,0,16,3.63
b05501007,"2017-05-01 10:17:26","2017-05-01 10:22:48",5.37,1,3,0,0,1,0,5,1.34
b04104028,"2017-05-01 10:19:26","2017-05-01 11:18:05",58.65,2,1,0,2,0,0,5,14.66
b05501025,"2017-05-01 10:19:33","2017-05-01 10:38:22",18.82,1,3,0,0,1,0,5,4.70
b05501085,"2017-05-01 10:28:30","2017-05-01 10:28:30",0.00,1,0,0,0,0,0,1,0.00
b05501052,"2017-05-01 10:29:52","2017-05-01 10:32:17",2.42,1,2,0,0,0,0,3,1.21
b05501028,"2017-05-01 10:29:56","2017-05-01 10:32:23",2.45,1,1,0,0,0,0,2,2.45
b05501073,"2017-05-01 10:30:08","2017-05-01 10:52:38",22.50,1,6,0,0,1,0,8,3.21
b05501070,"2017-05-01 10:30:22","2017-05-01 10:39:48",9.43,1,2,0,0,0,0,3,4.72
b05501049,"2017-05-01 10:32:11","2017-05-01 10:33:02",0.85,1,1,0,0,0,0,2,0.85
b05501079,"2017-05-01 10:38:57","2017-05-01 10:46:16",7.32,1,4,0,0,0,0,5,1.83
b05501004,"2017-05-01 10:53:09","2017-05-01 11:07:11",14.03,1,3,0,0,0,0,4,4.68
b02501080,"2017-05-01 10:53:36","2017-05-01 10:54:41",1.08,1,0,0,0,1,0,2,1.08
b05501107,"2017-05-01 10:56:21","2017-05-01 11:15:59",19.63,1,9,0,3,3,0,16,1.31
b03501124,"2017-05-01 11:04:17","2017-05-01 11:05:06",0.82,1,1,0,0,0,0,2,0.82
b05501076,"2017-05-01 11:17:27","2017-05-01 11:20:38",3.18,1,1,0,0,1,0,3,1.59
b05501119,"2017-05-01 11:19:46","2017-05-01 11:19:46",0.00,1,0,0,0,0,0,1,0.00
b05501091,"2017-05-01 11:20:27","2017-05-01 11:35:57",15.50,1,2,0,1,3,0,7,2.58
b05501055,"2017-05-01 11:38:34","2017-05-01 11:46:24",7.83,2,3,0,0,0,0,5,1.96
b02501116,"2017-05-02 14:24:14","2017-05-02 14:29:14",5.00,1,0,0,0,2,0,3,2.50
b04501119,"2017-05-03 01:53:42","2017-05-03 02:09:15",15.55,1,2,0,3,3,0,9,1.94
b02501066,"2017-05-03 10:46:32","2017-05-03 11:02:43",16.18,1,2,0,0,0,0,3,8.09
